id,title,subtitle,type,region,country,location,fit,status,posted,checked,notes,source,url
1,United Nations Secretariat,UN & Multilateral,UN & Multilateral,Global,"New York, USA",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://careers.un.org/
203,NTT DATA,Consulting & Systems Integration,Consulting & Systems Integration,Global,"Tokyo, Japan",,High,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery,,https://careers.nttdata.com/
204,Tata Consultancy Services,Consulting & Systems Integration,Consulting & Systems Integration,Global,"Mumbai, India",,High,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery,,https://www.tcs.com/careers
205,Infosys,Consulting & Systems Integration,Consulting & Systems Integration,Global,"Bengaluru, India",,High,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery,,https://www.infosys.com/careers/
206,Wipro,Consulting & Systems Integration,Consulting & Systems Integration,Global,"Bengaluru, India",,High,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery,,https://careers.wipro.com/
207,Cognizant,Consulting & Systems Integration,Consulting & Systems Integration,Global,"Teaneck, USA",,High,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery,,https://careers.cognizant.com/
208,Tech Mahindra,Consulting & Systems Integration,Consulting & Systems Integration,Global,"Pune, India",,High,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery,,https://careers.techmahindra.com/
209,HCLTech,Consulting & Systems Integration,Consulting & Systems Integration,Global,"Noida, India",,High,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery,,https://www.hcltech.com/careers
210,DXC Technology,Consulting & Systems Integration,Consulting & Systems Integration,Global,"Ashburn, USA",,High,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery,,https://careers.dxc.com/
211,EPAM Systems,Consulting & Systems Integration,Consulting & Systems Integration,Global,"Newtown, USA",,High,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery,,https://www.epam.com/careers
212,Thoughtworks,Consulting & Systems Integration,Consulting & Systems Integration,Global,"Chicago, USA",,High,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery,,https://www.thoughtworks.com/careers
213,McKinsey & Company,Consulting & Systems Integration,Consulting & Systems Integration,Global,"New York, USA",,High,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery,,https://www.mckinsey.com/careers
214,Boston Consulting Group,Consulting & Systems Integration,Consulting & Systems Integration,Global,"Boston, USA",,High,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery,,https://careers.bcg.com/
215,Bain & Company,Consulting & Systems Integration,Consulting & Systems Integration,Global,"Boston, USA",,High,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery,,https://www.bain.com/careers/
216,Oliver Wyman,Consulting & Systems Integration,Consulting & Systems Integration,Global,"New York, USA",,High,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery,,https://careers.marshmclennan.com/global/en/oliver-wyman
217,Arthur D. Little,Consulting & Systems Integration,Consulting & Systems Integration,Global,"Brussels, Belgium",,High,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery,,https://www.adlittle.com/en/careers
218,Roland Berger,Consulting & Systems Integration,Consulting & Systems Integration,Global,"Munich, Germany",,High,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery,,https://www.rolandberger.com/en/Join/
219,BearingPoint,Consulting & Systems Integration,Consulting & Systems Integration,Global,"Amsterdam, Netherlands",,High,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery,,https://www.bearingpoint.com/en/careers/
220,Sopra Steria,Consulting & Systems Integration,Consulting & Systems Integration,Global,"Paris, France",,High,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery,,https://www.soprasteria.com/careers
221,Publicis Sapient,Consulting & Systems Integration,Consulting & Systems Integration,Global,"Boston, USA",,High,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery,,https://careers.publicissapient.com/
222,Slalom,Consulting & Systems Integration,Consulting & Systems Integration,Global,"Seattle, USA",,High,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery,,https://www.slalom.com/careers
223,Booz Allen Hamilton,Consulting & Systems Integration,Consulting & Systems Integration,Global,"McLean, USA",,High,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery,,https://careers.boozallen.com/
224,Gartner,Consulting & Systems Integration,Consulting & Systems Integration,Global,"Stamford, USA",,High,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery,,https://jobs.gartner.com/
225,IDC,Consulting & Systems Integration,Consulting & Systems Integration,Global,"Needham, USA",,High,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery,,https://www.idc.com/about/careers
226,Vodafone Group,Telecom & Digital Infrastructure,Telecom & Digital Infrastructure,Global,"Newbury, UK",,High,Not Available,,2026-07-20,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity,,https://careers.vodafone.com/
227,Vodafone Egypt,Telecom & Digital Infrastructure,Telecom & Digital Infrastructure,GCC & Middle East,"Cairo, Egypt",,High,Not Available,,2026-07-20,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity,,https://web.vodafone.com.eg/en/careers
228,Orange Group,Telecom & Digital Infrastructure,Telecom & Digital Infrastructure,Global,"Paris, France",,High,Not Available,,2026-07-20,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity,,https://orange.jobs/
229,Orange Egypt,Telecom & Digital Infrastructure,Telecom & Digital Infrastructure,GCC & Middle East,"Cairo, Egypt",,High,Not Available,,2026-07-20,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity,,https://orange.jobs/site/en-orange-egypt/index.htm
230,Telecom Egypt,Telecom & Digital Infrastructure,Telecom & Digital Infrastructure,GCC & Middle East,"Cairo, Egypt",,High,Not Available,,2026-07-20,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity,,https://www.te.eg/wps/portal/te/About/Careers
231,Etisalat by e&,Telecom & Digital Infrastructure,Telecom & Digital Infrastructure,GCC & Middle East,"Abu Dhabi, UAE",,High,Not Available,,2026-07-20,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity,,https://careers.eand.com/
232,e& Egypt,Telecom & Digital Infrastructure,Telecom & Digital Infrastructure,GCC & Middle East,"Cairo, Egypt",,High,Not Available,,2026-07-20,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity,,https://www.etisalat.eg/portal/pages/about/careers.html
233,MTN Group,Telecom & Digital Infrastructure,Telecom & Digital Infrastructure,Africa,"Johannesburg, South Africa",,High,Not Available,,2026-07-20,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity,,https://www.mtn.com/careers/
234,Airtel Africa,Telecom & Digital Infrastructure,Telecom & Digital Infrastructure,Africa,"London, UK",,High,Not Available,,2026-07-20,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity,,https://www.airtel.africa/careers
235,Safaricom,Telecom & Digital Infrastructure,Telecom & Digital Infrastructure,Africa,"Nairobi, Kenya",,High,Not Available,,2026-07-20,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity,,https://www.safaricom.co.ke/careers
236,Liquid Intelligent Technologies,Telecom & Digital Infrastructure,Telecom & Digital Infrastructure,Africa,"London, UK",,High,Not Available,,2026-07-20,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity,,https://liquid.tech/careers/
237,MainOne,Telecom & Digital Infrastructure,Telecom & Digital Infrastructure,Africa,"Lagos, Nigeria",,High,Not Available,,2026-07-20,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity,,https://www.mainone.net/careers/
238,Bayobab,Telecom & Digital Infrastructure,Telecom & Digital Infrastructure,Africa,"Johannesburg, South Africa",,High,Not Available,,2026-07-20,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity,,https://www.bayobab.africa/careers
239,Econet Wireless,Telecom & Digital Infrastructure,Telecom & Digital Infrastructure,Africa,"Harare, Zimbabwe",,High,Not Available,,2026-07-20,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity,,https://www.econet.co.zw/careers
240,Telkom South Africa,Telecom & Digital Infrastructure,Telecom & Digital Infrastructure,Africa,"Pretoria, South Africa",,High,Not Available,,2026-07-20,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity,,https://www.telkom.co.za/careers
241,Ericsson,Telecom & Digital Infrastructure,Telecom & Digital Infrastructure,Global,"Stockholm, Sweden",,High,Not Available,,2026-07-20,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity,,https://www.ericsson.com/en/careers
242,Nokia,Telecom & Digital Infrastructure,Telecom & Digital Infrastructure,Global,"Espoo, Finland",,High,Not Available,,2026-07-20,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity,,https://www.nokia.com/about-us/careers/
243,ZTE,Telecom & Digital Infrastructure,Telecom & Digital Infrastructure,Global,"Shenzhen, China",,High,Not Available,,2026-07-20,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity,,https://www.zte.com.cn/global/about/careers
244,Equinix,Telecom & Digital Infrastructure,Telecom & Digital Infrastructure,Global,"Redwood City, USA",,High,Not Available,,2026-07-20,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity,,https://careers.equinix.com/
245,Digital Realty,Telecom & Digital Infrastructure,Telecom & Digital Infrastructure,Global,"Austin, USA",,High,Not Available,,2026-07-20,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity,,https://careers.digitalrealty.com/
246,American Tower,Telecom & Digital Infrastructure,Telecom & Digital Infrastructure,Global,"Boston, USA",,High,Not Available,,2026-07-20,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity,,https://careers.americantower.com/
247,IHS Towers,Telecom & Digital Infrastructure,Telecom & Digital Infrastructure,Africa,"London, UK",,High,Not Available,,2026-07-20,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity,,https://www.ihstowers.com/careers
248,Africa Data Centres,Telecom & Digital Infrastructure,Telecom & Digital Infrastructure,Africa,"Johannesburg, South Africa",,High,Not Available,,2026-07-20,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity,,https://www.africadatacentres.com/careers/
249,Rack Centre,Telecom & Digital Infrastructure,Telecom & Digital Infrastructure,Africa,"Lagos, Nigeria",,High,Not Available,,2026-07-20,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity,,https://www.rack-centre.com/careers/
250,G42,Telecom & Digital Infrastructure,Telecom & Digital Infrastructure,GCC & Middle East,"Abu Dhabi, UAE",,High,Not Available,,2026-07-20,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity,,https://www.g42.ai/careers
251,Bill & Melinda Gates Foundation,"Research, Foundations & Policy","Research, Foundations & Policy",Global,"Seattle, USA",,Medium,Not Available,,2026-07-20,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems,,https://www.gatesfoundation.org/about/careers
252,Rockefeller Foundation,"Research, Foundations & Policy","Research, Foundations & Policy",Global,"New York, USA",,Medium,Not Available,,2026-07-20,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems,,https://www.rockefellerfoundation.org/careers/
253,Wellcome Trust,"Research, Foundations & Policy","Research, Foundations & Policy",Global,"London, UK",,Medium,Not Available,,2026-07-20,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems,,https://wellcome.org/jobs
254,Mastercard Foundation,"Research, Foundations & Policy","Research, Foundations & Policy",Africa,"Toronto, Canada",,Medium,Not Available,,2026-07-20,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems,,https://mastercardfdn.org/careers/
255,Ford Foundation,"Research, Foundations & Policy","Research, Foundations & Policy",Global,"New York, USA",,Medium,Not Available,,2026-07-20,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems,,https://www.fordfoundation.org/about/careers/
256,MacArthur Foundation,"Research, Foundations & Policy","Research, Foundations & Policy",Global,"Chicago, USA",,Medium,Not Available,,2026-07-20,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems,,https://www.macfound.org/about/careers
257,Open Society Foundations,"Research, Foundations & Policy","Research, Foundations & Policy",Global,"New York, USA",,Medium,Not Available,,2026-07-20,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems,,https://www.opensocietyfoundations.org/employment
258,Aga Khan Foundation,"Research, Foundations & Policy","Research, Foundations & Policy",Global,"Geneva, Switzerland",,Medium,Not Available,,2026-07-20,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems,,https://www.akdn.org/careers
259,Omidyar Network,"Research, Foundations & Policy","Research, Foundations & Policy",Global,"Redwood City, USA",,Medium,Not Available,,2026-07-20,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems,,https://omidyar.com/careers/
260,Schmidt Futures,"Research, Foundations & Policy","Research, Foundations & Policy",Global,"New York, USA",,Medium,Not Available,,2026-07-20,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems,,https://www.schmidtfutures.com/careers/
261,CGIAR,"Research, Foundations & Policy","Research, Foundations & Policy",Global,"Montpellier, France",,Medium,Not Available,,2026-07-20,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems,,https://www.cgiar.org/careers/
262,International Livestock Research Institute,"Research, Foundations & Policy","Research, Foundations & Policy",Africa,"Nairobi, Kenya",,Medium,Not Available,,2026-07-20,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems,,https://www.ilri.org/jobs
263,ICARDA,"Research, Foundations & Policy","Research, Foundations & Policy",Global,"Beirut, Lebanon",,Medium,Not Available,,2026-07-20,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems,,https://www.icarda.org/about-us/work-us
264,AfricaRice,"Research, Foundations & Policy","Research, Foundations & Policy",Africa,"Abidjan, Côte d’Ivoire",,Medium,Not Available,,2026-07-20,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems,,https://www.africarice.org/jobs
265,KEMRI,"Research, Foundations & Policy","Research, Foundations & Policy",Africa,"Nairobi, Kenya",,Medium,Not Available,,2026-07-20,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems,,https://www.kemri.go.ke/careers/
266,African Population and Health Research Center,"Research, Foundations & Policy","Research, Foundations & Policy",Africa,"Nairobi, Kenya",,Medium,Not Available,,2026-07-20,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems,,https://aphrc.org/careers/
267,Ifakara Health Institute,"Research, Foundations & Policy","Research, Foundations & Policy",Africa,"Dar es Salaam, Tanzania",,Medium,Not Available,,2026-07-20,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems,,https://ihi.or.tz/careers/
268,RAND Corporation,"Research, Foundations & Policy","Research, Foundations & Policy",Global,"Santa Monica, USA",,Medium,Not Available,,2026-07-20,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems,,https://www.rand.org/jobs.html
269,Brookings Institution,"Research, Foundations & Policy","Research, Foundations & Policy",Global,"Washington, DC, USA",,Medium,Not Available,,2026-07-20,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems,,https://www.brookings.edu/careers/
270,ODI Global,"Research, Foundations & Policy","Research, Foundations & Policy",Global,"London, UK",,Medium,Not Available,,2026-07-20,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems,,https://odi.org/en/about/jobs/
271,Institute of Development Studies,"Research, Foundations & Policy","Research, Foundations & Policy",Global,"Brighton, UK",,Medium,Not Available,,2026-07-20,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems,,https://www.ids.ac.uk/about-us/jobs/
272,Carnegie Endowment for International Peace,"Research, Foundations & Policy","Research, Foundations & Policy",Global,"Washington, DC, USA",,Medium,Not Available,,2026-07-20,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems,,https://carnegieendowment.org/about/jobs
273,Center for Global Development,"Research, Foundations & Policy","Research, Foundations & Policy",Global,"Washington, DC, USA",,Medium,Not Available,,2026-07-20,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems,,https://www.cgdev.org/page/careers
274,World Resources Institute,"Research, Foundations & Policy","Research, Foundations & Policy",Global,"Washington, DC, USA",,Medium,Not Available,,2026-07-20,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems,,https://www.wri.org/careers
275,International Institute for Sustainable Development,"Research, Foundations & Policy","Research, Foundations & Policy",Global,"Winnipeg, Canada",,Medium,Not Available,,2026-07-20,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems,,https://www.iisd.org/about-iisd/employment
276,Smart Africa,Africa Digital & High-Growth,Africa Digital & High-Growth,Africa,"Kigali, Rwanda",,Medium,Not Available,,2026-07-20,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration,,https://smartafrica.org/careers/
277,AfricaNenda,Africa Digital & High-Growth,Africa Digital & High-Growth,Africa,"Nairobi, Kenya",,Medium,Not Available,,2026-07-20,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration,,https://www.africanenda.org/careers
278,Code for Africa,Africa Digital & High-Growth,Africa Digital & High-Growth,Africa,"Nairobi, Kenya",,Medium,Not Available,,2026-07-20,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration,,https://codeforafrica.org/careers/
279,Andela,Africa Digital & High-Growth,Africa Digital & High-Growth,Africa,"New York, USA",,Medium,Not Available,,2026-07-20,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration,,https://www.andela.com/careers
280,Flutterwave,Africa Digital & High-Growth,Africa Digital & High-Growth,Africa,"San Francisco, USA",,Medium,Not Available,,2026-07-20,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration,,https://flutterwave.com/us/careers
281,Interswitch,Africa Digital & High-Growth,Africa Digital & High-Growth,Africa,"Lagos, Nigeria",,Medium,Not Available,,2026-07-20,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration,,https://www.interswitchgroup.com/careers
282,Paystack,Africa Digital & High-Growth,Africa Digital & High-Growth,Africa,"Lagos, Nigeria",,Medium,Not Available,,2026-07-20,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration,,https://paystack.com/careers
283,M-PESA Africa,Africa Digital & High-Growth,Africa Digital & High-Growth,Africa,"Nairobi, Kenya",,Medium,Not Available,,2026-07-20,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration,,https://www.safaricom.co.ke/careers
284,Wave Mobile Money,Africa Digital & High-Growth,Africa Digital & High-Growth,Africa,"Dakar, Senegal",,Medium,Not Available,,2026-07-20,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration,,https://www.wave.com/en/careers/
285,Tyme Group,Africa Digital & High-Growth,Africa Digital & High-Growth,Africa,Singapore,,Medium,Not Available,,2026-07-20,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration,,https://www.tyme.com/careers
286,Jumia,Africa Digital & High-Growth,Africa Digital & High-Growth,Africa,"Berlin, Germany",,Medium,Not Available,,2026-07-20,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration,,https://group.jumia.com/careers
287,Kobo360,Africa Digital & High-Growth,Africa Digital & High-Growth,Africa,"Lagos, Nigeria",,Medium,Not Available,,2026-07-20,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration,,https://www.kobo360.com/careers
288,Yoco,Africa Digital & High-Growth,Africa Digital & High-Growth,Africa,"Cape Town, South Africa",,Medium,Not Available,,2026-07-20,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration,,https://www.yoco.com/za/careers/
289,M-KOPA,Africa Digital & High-Growth,Africa Digital & High-Growth,Africa,"Nairobi, Kenya",,Medium,Not Available,,2026-07-20,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration,,https://m-kopa.com/careers/
290,Cellulant,Africa Digital & High-Growth,Africa Digital & High-Growth,Africa,"Nairobi, Kenya",,Medium,Not Available,,2026-07-20,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration,,https://www.cellulant.io/careers/
291,Moniepoint,Africa Digital & High-Growth,Africa Digital & High-Growth,Africa,"London, UK",,Medium,Not Available,,2026-07-20,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration,,https://moniepoint.com/careers
292,OPay,Africa Digital & High-Growth,Africa Digital & High-Growth,Africa,"Cairo, Egypt",,Medium,Not Available,,2026-07-20,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration,,https://www.opayweb.com/careers
293,Fawry,Africa Digital & High-Growth,Africa Digital & High-Growth,GCC & Middle East,"Cairo, Egypt",,Medium,Not Available,,2026-07-20,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration,,https://www.fawry.com/careers/
294,Egyptian Banks Company,Africa Digital & High-Growth,Africa Digital & High-Growth,GCC & Middle East,"Cairo, Egypt",,Medium,Not Available,,2026-07-20,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration,,https://www.egyptianbanks.com/careers
295,Raya Holding,Africa Digital & High-Growth,Africa Digital & High-Growth,GCC & Middle East,"Cairo, Egypt",,Medium,Not Available,,2026-07-20,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration,,https://rayacorp.com/careers/
296,ITWorx,Africa Digital & High-Growth,Africa Digital & High-Growth,GCC & Middle East,"Cairo, Egypt",,Medium,Not Available,,2026-07-20,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration,,https://www.itworx.com/careers/
297,Valeo Egypt,Africa Digital & High-Growth,Africa Digital & High-Growth,GCC & Middle East,"Cairo, Egypt",,Medium,Not Available,,2026-07-20,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration,,https://valeo.wd3.myworkdayjobs.com/en-US/valeo_jobs
298,Sumerge,Africa Digital & High-Growth,Africa Digital & High-Growth,GCC & Middle East,"Cairo, Egypt",,Medium,Not Available,,2026-07-20,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration,,https://www.sumerge.com/careers/
299,Incorta,Africa Digital & High-Growth,Africa Digital & High-Growth,GCC & Middle East,"San Mateo, USA",,Medium,Not Available,,2026-07-20,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration,,https://www.incorta.com/company/careers
300,Vezeeta,Africa Digital & High-Growth,Africa Digital & High-Growth,GCC & Middle East,"Cairo, Egypt",,Medium,Not Available,,2026-07-20,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration,,https://www.vezeeta.com/en/careers
301,United Nations Secretariat,Career and project search,UN & Multilateral,Global,Multiple,,Medium,Monitoring,,2026-07-20,"Search current jobs, consulting assignments, tenders and technology programmes.",,https://www.google.com/search?q=%22United+Nations+Secretariat%22+careers+jobs+digital+transformation+ICT
302,UNDP,Career and project search,UN & Multilateral,Global,Multiple,,Medium,Monitoring,,2026-07-20,"Search current jobs, consulting assignments, tenders and technology programmes.",,https://www.google.com/search?q=%22UNDP%22+careers+jobs+digital+transformation+ICT
303,UNICEF,Career and project search,UN & Multilateral,Global,Multiple,,Medium,Monitoring,,2026-07-20,"Search current jobs, consulting assignments, tenders and technology programmes.",,https://www.google.com/search?q=%22UNICEF%22+careers+jobs+digital+transformation+ICT
304,WHO,Career and project search,UN & Multilateral,Global,Multiple,,Medium,Monitoring,,2026-07-20,"Search current jobs, consulting assignments, tenders and technology programmes.",,https://www.google.com/search?q=%22WHO%22+careers+jobs+digital+transformation+ICT
305,UNOPS,Career and project search,UN & Multilateral,Global,Multiple,,Medium,Monitoring,,2026-07-20,"Search current jobs, consulting assignments, tenders and technology programmes.",,https://www.google.com/search?q=%22UNOPS%22+careers+jobs+digital+transformation+ICT
306,UNHCR,Career and project search,UN & Multilateral,Global,Multiple,,Medium,Monitoring,,2026-07-20,"Search current jobs, consulting assignments, tenders and technology programmes.",,https://www.google.com/search?q=%22UNHCR%22+careers+jobs+digital+transformation+ICT
307,WFP,Career and project search,UN & Multilateral,Global,Multiple,,Medium,Monitoring,,2026-07-20,"Search current jobs, consulting assignments, tenders and technology programmes.",,https://www.google.com/search?q=%22WFP%22+careers+jobs+digital+transformation+ICT
308,FAO,Career and project search,UN & Multilateral,Global,Multiple,,Medium,Monitoring,,2026-07-20,"Search current jobs, consulting assignments, tenders and technology programmes.",,https://www.google.com/search?q=%22FAO%22+careers+jobs+digital+transformation+ICT
309,ILO,Career and project search,UN & Multilateral,Global,Multiple,,Medium,Monitoring,,2026-07-20,"Search current jobs, consulting assignments, tenders and technology programmes.",,https://www.google.com/search?q=%22ILO%22+careers+jobs+digital+transformation+ICT
310,IOM,Career and project search,UN & Multilateral,Global,Multiple,,Medium,Monitoring,,2026-07-20,"Search current jobs, consulting assignments, tenders and technology programmes.",,https://www.google.com/search?q=%22IOM%22+careers+jobs+digital+transformation+ICT
311,UN Women,Career and project search,UN & Multilateral,Global,Multiple,,Medium,Monitoring,,2026-07-20,"Search current jobs, consulting assignments, tenders and technology programmes.",,https://www.google.com/search?q=%22UN+Women%22+careers+jobs+digital+transformation+ICT
312,UNFPA,Career and project search,UN & Multilateral,Global,Multiple,,Medium,Monitoring,,2026-07-20,"Search current jobs, consulting assignments, tenders and technology programmes.",,https://www.google.com/search?q=%22UNFPA%22+careers+jobs+digital+transformation+ICT
313,UNESCO,Career and project search,UN & Multilateral,Global,Multiple,,Medium,Monitoring,,2026-07-20,"Search current jobs, consulting assignments, tenders and technology programmes.",,https://www.google.com/search?q=%22UNESCO%22+careers+jobs+digital+transformation+ICT
314,UN-Habitat,Career and project search,UN & Multilateral,Global,Multiple,,Medium,Monitoring,,2026-07-20,"Search current jobs, consulting assignments, tenders and technology programmes.",,https://www.google.com/search?q=%22UN-Habitat%22+careers+jobs+digital+transformation+ICT
315,UNEP,Career and project search,UN & Multilateral,Global,Multiple,,Medium,Monitoring,,2026-07-20,"Search current jobs, consulting assignments, tenders and technology programmes.",,https://www.google.com/search?q=%22UNEP%22+careers+jobs+digital+transformation+ICT
316,ITU,Career and project search,UN & Multilateral,Global,Multiple,,Medium,Monitoring,,2026-07-20,"Search current jobs, consulting assignments, tenders and technology programmes.",,https://www.google.com/search?q=%22ITU%22+careers+jobs+digital+transformation+ICT
317,UNIDO,Career and project search,UN & Multilateral,Global,Multiple,,Medium,Monitoring,,2026-07-20,"Search current jobs, consulting assignments, tenders and technology programmes.",,https://www.google.com/search?q=%22UNIDO%22+careers+jobs+digital+transformation+ICT
