id,title,subtitle,type,region,country,location,fit,status,posted,checked,notes,source,url
1,Pfizer,Global Pharmaceuticals,Global Pharmaceuticals,Global,"New York, USA",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.pfizer.com/about/careers
169,LivaNova,Medical Devices & Equipment,Medical Devices & Equipment,Global,"London, UK",,High,Not Available,,2026-07-20,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms,,https://careers.livanova.com/
170,ConvaTec,Medical Devices & Equipment,Medical Devices & Equipment,Global,"London, UK",,High,Not Available,,2026-07-20,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms,,https://careers.convatec.com/
171,Coloplast,Medical Devices & Equipment,Medical Devices & Equipment,Global,"Humlebæk, Denmark",,High,Not Available,,2026-07-20,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms,,https://careers.coloplast.com/
172,Essity Health & Medical,Medical Devices & Equipment,Medical Devices & Equipment,Global,"Stockholm, Sweden",,High,Not Available,,2026-07-20,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms,,https://www.essity.com/careers/
173,HARTMANN Group,Medical Devices & Equipment,Medical Devices & Equipment,Global,"Heidenheim, Germany",,High,Not Available,,2026-07-20,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms,,https://www.hartmann.info/en-corp/career
174,B. Braun,Medical Devices & Equipment,Medical Devices & Equipment,Global,"Melsungen, Germany",,High,Not Available,,2026-07-20,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms,,https://www.bbraun.com/en/career.html
175,Fresenius Medical Care,Medical Devices & Equipment,Medical Devices & Equipment,Global,"Bad Homburg, Germany",,High,Not Available,,2026-07-20,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms,,https://jobs.freseniusmedicalcare.com/
176,Nikkiso,Medical Devices & Equipment,Medical Devices & Equipment,Global,"Tokyo, Japan",,High,Not Available,,2026-07-20,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms,,https://www.nikkiso.com/careers/
177,ZOLL Medical,Medical Devices & Equipment,Medical Devices & Equipment,Global,"Chelmsford, USA",,High,Not Available,,2026-07-20,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms,,https://www.zoll.com/about-zoll/careers
178,Arthrex,Medical Devices & Equipment,Medical Devices & Equipment,Global,"Naples, USA",,High,Not Available,,2026-07-20,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms,,https://careers.arthrex.com/
179,Cook Medical,Medical Devices & Equipment,Medical Devices & Equipment,Global,"Bloomington, USA",,High,Not Available,,2026-07-20,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms,,https://www.cookmedical.com/about/careers/
180,Ambu,Medical Devices & Equipment,Medical Devices & Equipment,Global,"Ballerup, Denmark",,High,Not Available,,2026-07-20,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms,,https://www.ambu.com/careers
181,Roche Diagnostics,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Rotkreuz, Switzerland",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://careers.roche.com/
182,Danaher,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Washington, DC, USA",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://jobs.danaher.com/
183,Thermo Fisher Scientific,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Waltham, USA",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://jobs.thermofisher.com/
184,Agilent Technologies,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Santa Clara, USA",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://careers.agilent.com/
185,Bio-Rad Laboratories,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Hercules, USA",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://careers.bio-rad.com/
186,QIAGEN,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Venlo, Netherlands",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://careers.qiagen.com/
187,bioMérieux,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Marcy-l'Étoile, France",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://careers.biomerieux.com/
188,Revvity,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Waltham, USA",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://jobs.revvity.com/
189,Waters Corporation,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Milford, USA",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://careers.waters.com/
190,Bruker,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Billerica, USA",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://www.bruker.com/en/about/careers.html
191,Illumina,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"San Diego, USA",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://careers.illumina.com/
192,Sysmex,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Kobe, Japan",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://www.sysmex.co.jp/en/corporate/recruit/
193,DiaSorin,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Saluggia, Italy",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://www.diasorin.com/en/careers
194,Werfen,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Barcelona, Spain",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://www.werfen.com/careers
195,QuidelOrtho,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"San Diego, USA",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://careers.quidelortho.com/
196,Randox Laboratories,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Crumlin, UK",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://www.randox.com/careers/
197,Fujirebio,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Tokyo, Japan",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://www.fujirebio.com/en/careers
198,Seegene,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Seoul, South Korea",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://www.seegene.com/career
199,SD Biosensor,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Suwon, South Korea",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://www.sdbiosensor.com/
200,Cepheid,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Sunnyvale, USA",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://jobs.danaher.com/global/en/cepheid
201,Beckman Coulter,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Brea, USA",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://jobs.danaher.com/global/en/beckman-coulter
202,Leica Biosystems,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Nussloch, Germany",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://jobs.danaher.com/global/en/leica-biosystems
203,Radiometer,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Brønshøj, Denmark",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://jobs.danaher.com/global/en/radiometer
204,Molecular Devices,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"San Jose, USA",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://jobs.danaher.com/global/en/molecular-devices
205,IDEXX Laboratories,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Westbrook, USA",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://careers.idexx.com/
206,Eurofins Scientific,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,Luxembourg,,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://careers.eurofins.com/
207,Sonic Healthcare,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Sydney, Australia",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://www.sonichealthcare.com/careers/
208,Labcorp,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Burlington, USA",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://careers.labcorp.com/
209,Quest Diagnostics,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Secaucus, USA",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://careers.questdiagnostics.com/
210,NeoGenomics Laboratories,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Fort Myers, USA",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://careers.neogenomics.com/
211,Exact Sciences,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Madison, USA",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://careers.exactsciences.com/
212,Guardant Health,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Palo Alto, USA",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://guardanthealth.com/careers/
213,Natera,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Austin, USA",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://www.natera.com/company/careers/
214,Myriad Genetics,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Salt Lake City, USA",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://myriad.com/careers/
215,Foundation Medicine,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Cambridge, USA",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://careers.foundationmedicine.com/
216,Oxford Nanopore Technologies,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Oxford, UK",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://nanoporetech.com/careers
217,Pacific Biosciences,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Menlo Park, USA",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://www.pacb.com/careers/
218,Sartorius,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Göttingen, Germany",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://www.sartorius.com/en/company/careers
219,Tecan,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Männedorf, Switzerland",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://www.tecan.com/careers
220,Eppendorf,"Diagnostics, Laboratory & Life Science Tools","Diagnostics, Laboratory & Life Science Tools",Global,"Hamburg, Germany",,High,Not Available,,2026-07-20,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity,,https://www.eppendorf.com/careers/
221,IQVIA,"CRO, Clinical Research & Pharma Services","CRO, Clinical Research & Pharma Services",Global,"Durham, USA",,High,Not Available,,2026-07-20,Clinical Systems | eClinical Platforms | Data Management | Enterprise Applications | Program Delivery,,https://jobs.iqvia.com/
222,ICON plc,"CRO, Clinical Research & Pharma Services","CRO, Clinical Research & Pharma Services",Global,"Dublin, Ireland",,High,Not Available,,2026-07-20,Clinical Systems | eClinical Platforms | Data Management | Enterprise Applications | Program Delivery,,https://careers.iconplc.com/
223,Parexel,"CRO, Clinical Research & Pharma Services","CRO, Clinical Research & Pharma Services",Global,"Durham, USA",,High,Not Available,,2026-07-20,Clinical Systems | eClinical Platforms | Data Management | Enterprise Applications | Program Delivery,,https://jobs.parexel.com/
224,Syneos Health,"CRO, Clinical Research & Pharma Services","CRO, Clinical Research & Pharma Services",Global,"Morrisville, USA",,High,Not Available,,2026-07-20,Clinical Systems | eClinical Platforms | Data Management | Enterprise Applications | Program Delivery,,https://www.syneoshealth.com/careers
225,Fortrea,"CRO, Clinical Research & Pharma Services","CRO, Clinical Research & Pharma Services",Global,"Durham, USA",,High,Not Available,,2026-07-20,Clinical Systems | eClinical Platforms | Data Management | Enterprise Applications | Program Delivery,,https://www.fortrea.com/careers
226,Medpace,"CRO, Clinical Research & Pharma Services","CRO, Clinical Research & Pharma Services",Global,"Cincinnati, USA",,High,Not Available,,2026-07-20,Clinical Systems | eClinical Platforms | Data Management | Enterprise Applications | Program Delivery,,https://www.medpace.com/careers/
227,PPD,"CRO, Clinical Research & Pharma Services","CRO, Clinical Research & Pharma Services",Global,"Wilmington, USA",,High,Not Available,,2026-07-20,Clinical Systems | eClinical Platforms | Data Management | Enterprise Applications | Program Delivery,,https://jobs.thermofisher.com/global/en/ppd-careers
228,Charles River Laboratories,"CRO, Clinical Research & Pharma Services","CRO, Clinical Research & Pharma Services",Global,"Wilmington, USA",,High,Not Available,,2026-07-20,Clinical Systems | eClinical Platforms | Data Management | Enterprise Applications | Program Delivery,,https://jobs.criver.com/
229,WuXi AppTec,"CRO, Clinical Research & Pharma Services","CRO, Clinical Research & Pharma Services",Global,"Shanghai, China",,High,Not Available,,2026-07-20,Clinical Systems | eClinical Platforms | Data Management | Enterprise Applications | Program Delivery,,https://careers.wuxiapptec.com/
230,WuXi Biologics,"CRO, Clinical Research & Pharma Services","CRO, Clinical Research & Pharma Services",Global,"Wuxi, China",,High,Not Available,,2026-07-20,Clinical Systems | eClinical Platforms | Data Management | Enterprise Applications | Program Delivery,,https://www.wuxibiologics.com/careers/
231,Pharmaron,"CRO, Clinical Research & Pharma Services","CRO, Clinical Research & Pharma Services",Global,"Beijing, China",,High,Not Available,,2026-07-20,Clinical Systems | eClinical Platforms | Data Management | Enterprise Applications | Program Delivery,,https://www.pharmaron.com/careers/
232,Tigermed,"CRO, Clinical Research & Pharma Services","CRO, Clinical Research & Pharma Services",Global,"Hangzhou, China",,High,Not Available,,2026-07-20,Clinical Systems | eClinical Platforms | Data Management | Enterprise Applications | Program Delivery,,https://www.tigermedgrp.com/careers
233,Worldwide Clinical Trials,"CRO, Clinical Research & Pharma Services","CRO, Clinical Research & Pharma Services",Global,"Research Triangle Park, USA",,High,Not Available,,2026-07-20,Clinical Systems | eClinical Platforms | Data Management | Enterprise Applications | Program Delivery,,https://www.worldwide.com/careers/
234,PSI CRO,"CRO, Clinical Research & Pharma Services","CRO, Clinical Research & Pharma Services",Global,"Zug, Switzerland",,High,Not Available,,2026-07-20,Clinical Systems | eClinical Platforms | Data Management | Enterprise Applications | Program Delivery,,https://psi-cro.com/careers/
235,Precision for Medicine,"CRO, Clinical Research & Pharma Services","CRO, Clinical Research & Pharma Services",Global,"Bethesda, USA",,High,Not Available,,2026-07-20,Clinical Systems | eClinical Platforms | Data Management | Enterprise Applications | Program Delivery,,https://www.precisionformedicine.com/careers
236,Premier Research,"CRO, Clinical Research & Pharma Services","CRO, Clinical Research & Pharma Services",Global,"Morrisville, USA",,High,Not Available,,2026-07-20,Clinical Systems | eClinical Platforms | Data Management | Enterprise Applications | Program Delivery,,https://premier-research.com/careers/
237,Ergomed,"CRO, Clinical Research & Pharma Services","CRO, Clinical Research & Pharma Services",Global,"Guildford, UK",,High,Not Available,,2026-07-20,Clinical Systems | eClinical Platforms | Data Management | Enterprise Applications | Program Delivery,,https://www.ergomedgroup.com/careers/
238,Emmes,"CRO, Clinical Research & Pharma Services","CRO, Clinical Research & Pharma Services",Global,"Rockville, USA",,High,Not Available,,2026-07-20,Clinical Systems | eClinical Platforms | Data Management | Enterprise Applications | Program Delivery,,https://www.emmes.com/careers
239,Medidata Solutions,"CRO, Clinical Research & Pharma Services","CRO, Clinical Research & Pharma Services",Global,"New York, USA",,High,Not Available,,2026-07-20,Clinical Systems | eClinical Platforms | Data Management | Enterprise Applications | Program Delivery,,https://www.medidata.com/en/careers/
240,Veeva Systems,"CRO, Clinical Research & Pharma Services","CRO, Clinical Research & Pharma Services",Global,"Pleasanton, USA",,High,Not Available,,2026-07-20,Clinical Systems | eClinical Platforms | Data Management | Enterprise Applications | Program Delivery,,https://careers.veeva.com/
241,Clario,"CRO, Clinical Research & Pharma Services","CRO, Clinical Research & Pharma Services",Global,"Philadelphia, USA",,High,Not Available,,2026-07-20,Clinical Systems | eClinical Platforms | Data Management | Enterprise Applications | Program Delivery,,https://clario.com/careers/
242,Signant Health,"CRO, Clinical Research & Pharma Services","CRO, Clinical Research & Pharma Services",Global,"Blue Bell, USA",,High,Not Available,,2026-07-20,Clinical Systems | eClinical Platforms | Data Management | Enterprise Applications | Program Delivery,,https://www.signanthealth.com/careers/
243,Medable,"CRO, Clinical Research & Pharma Services","CRO, Clinical Research & Pharma Services",Global,"Palo Alto, USA",,High,Not Available,,2026-07-20,Clinical Systems | eClinical Platforms | Data Management | Enterprise Applications | Program Delivery,,https://www.medable.com/careers
244,Science 37,"CRO, Clinical Research & Pharma Services","CRO, Clinical Research & Pharma Services",Global,"Research Triangle Park, USA",,High,Not Available,,2026-07-20,Clinical Systems | eClinical Platforms | Data Management | Enterprise Applications | Program Delivery,,https://www.science37.com/careers
245,ClinChoice,"CRO, Clinical Research & Pharma Services","CRO, Clinical Research & Pharma Services",Global,"Fort Washington, USA",,High,Not Available,,2026-07-20,Clinical Systems | eClinical Platforms | Data Management | Enterprise Applications | Program Delivery,,https://www.clinchoice.com/careers/
246,CTI Clinical Trial & Consulting,"CRO, Clinical Research & Pharma Services","CRO, Clinical Research & Pharma Services",Global,"Covington, USA",,High,Not Available,,2026-07-20,Clinical Systems | eClinical Platforms | Data Management | Enterprise Applications | Program Delivery,,https://ctifacts.com/careers/
247,Novotech,"CRO, Clinical Research & Pharma Services","CRO, Clinical Research & Pharma Services",Global,"Sydney, Australia",,High,Not Available,,2026-07-20,Clinical Systems | eClinical Platforms | Data Management | Enterprise Applications | Program Delivery,,https://novotech-cro.com/careers
248,Avance Clinical,"CRO, Clinical Research & Pharma Services","CRO, Clinical Research & Pharma Services",Global,"Adelaide, Australia",,High,Not Available,,2026-07-20,Clinical Systems | eClinical Platforms | Data Management | Enterprise Applications | Program Delivery,,https://www.avancecro.com/careers/
249,ProPharma Group,"CRO, Clinical Research & Pharma Services","CRO, Clinical Research & Pharma Services",Global,"Overland Park, USA",,High,Not Available,,2026-07-20,Clinical Systems | eClinical Platforms | Data Management | Enterprise Applications | Program Delivery,,https://www.propharmagroup.com/careers/
250,Caidya,"CRO, Clinical Research & Pharma Services","CRO, Clinical Research & Pharma Services",Global,"Morrisville, USA",,High,Not Available,,2026-07-20,Clinical Systems | eClinical Platforms | Data Management | Enterprise Applications | Program Delivery,,https://www.caidya.com/careers/
251,Alimentiv,"CRO, Clinical Research & Pharma Services","CRO, Clinical Research & Pharma Services",Global,"London, Canada",,High,Not Available,,2026-07-20,Clinical Systems | eClinical Platforms | Data Management | Enterprise Applications | Program Delivery,,https://alimentiv.com/careers/
252,PHASTAR,"CRO, Clinical Research & Pharma Services","CRO, Clinical Research & Pharma Services",Global,"London, UK",,High,Not Available,,2026-07-20,Clinical Systems | eClinical Platforms | Data Management | Enterprise Applications | Program Delivery,,https://phastar.com/careers/
253,Quanticate,"CRO, Clinical Research & Pharma Services","CRO, Clinical Research & Pharma Services",Global,"Hitchin, UK",,High,Not Available,,2026-07-20,Clinical Systems | eClinical Platforms | Data Management | Enterprise Applications | Program Delivery,,https://www.quanticate.com/careers
254,Veristat,"CRO, Clinical Research & Pharma Services","CRO, Clinical Research & Pharma Services",Global,"Southborough, USA",,High,Not Available,,2026-07-20,Clinical Systems | eClinical Platforms | Data Management | Enterprise Applications | Program Delivery,,https://www.veristat.com/careers/
255,Allucent,"CRO, Clinical Research & Pharma Services","CRO, Clinical Research & Pharma Services",Global,"Cary, USA",,High,Not Available,,2026-07-20,Clinical Systems | eClinical Platforms | Data Management | Enterprise Applications | Program Delivery,,https://www.allucent.com/careers
256,Epic,Digital Health & Healthcare IT,Digital Health & Healthcare IT,Global,"Verona, USA",,High,Not Available,,2026-07-20,Solutions Architecture | Health Interoperability | Cloud Platforms | Product Technology | Data Engineering,,https://careers.epic.com/
257,Oracle Health,Digital Health & Healthcare IT,Digital Health & Healthcare IT,Global,"Austin, USA",,High,Not Available,,2026-07-20,Solutions Architecture | Health Interoperability | Cloud Platforms | Product Technology | Data Engineering,,https://careers.oracle.com/
258,InterSystems,Digital Health & Healthcare IT,Digital Health & Healthcare IT,Global,"Cambridge, USA",,High,Not Available,,2026-07-20,Solutions Architecture | Health Interoperability | Cloud Platforms | Product Technology | Data Engineering,,https://www.intersystems.com/careers/
259,MEDITECH,Digital Health & Healthcare IT,Digital Health & Healthcare IT,Global,"Canton, USA",,High,Not Available,,2026-07-20,Solutions Architecture | Health Interoperability | Cloud Platforms | Product Technology | Data Engineering,,https://ehr.meditech.com/careers
260,Dedalus,Digital Health & Healthcare IT,Digital Health & Healthcare IT,Global,"Florence, Italy",,High,Not Available,,2026-07-20,Solutions Architecture | Health Interoperability | Cloud Platforms | Product Technology | Data Engineering,,https://www.dedalus.com/global/en/careers/
261,CompuGroup Medical,Digital Health & Healthcare IT,Digital Health & Healthcare IT,Global,"Koblenz, Germany",,High,Not Available,,2026-07-20,Solutions Architecture | Health Interoperability | Cloud Platforms | Product Technology | Data Engineering,,https://www.cgm.com/corp_en/career/
262,athenahealth,Digital Health & Healthcare IT,Digital Health & Healthcare IT,Global,"Boston, USA",,High,Not Available,,2026-07-20,Solutions Architecture | Health Interoperability | Cloud Platforms | Product Technology | Data Engineering,,https://www.athenahealth.com/careers
263,eClinicalWorks,Digital Health & Healthcare IT,Digital Health & Healthcare IT,Global,"Westborough, USA",,High,Not Available,,2026-07-20,Solutions Architecture | Health Interoperability | Cloud Platforms | Product Technology | Data Engineering,,https://www.eclinicalworks.com/careers/
264,NextGen Healthcare,Digital Health & Healthcare IT,Digital Health & Healthcare IT,Global,Remote / USA,,High,Not Available,,2026-07-20,Solutions Architecture | Health Interoperability | Cloud Platforms | Product Technology | Data Engineering,,https://www.nextgen.com/company/careers
265,Altera Digital Health,Digital Health & Healthcare IT,Digital Health & Healthcare IT,Global,"Niagara Falls, Canada",,High,Not Available,,2026-07-20,Solutions Architecture | Health Interoperability | Cloud Platforms | Product Technology | Data Engineering,,https://www.alterahealth.com/careers/
266,Veradigm,Digital Health & Healthcare IT,Digital Health & Healthcare IT,Global,"Chicago, USA",,High,Not Available,,2026-07-20,Solutions Architecture | Health Interoperability | Cloud Platforms | Product Technology | Data Engineering,,https://veradigm.com/careers/
267,R1 RCM,Digital Health & Healthcare IT,Digital Health & Healthcare IT,Global,"Murray, USA",,High,Not Available,,2026-07-20,Solutions Architecture | Health Interoperability | Cloud Platforms | Product Technology | Data Engineering,,https://careers.r1rcm.com/
268,Waystar,Digital Health & Healthcare IT,Digital Health & Healthcare IT,Global,"Louisville, USA",,High,Not Available,,2026-07-20,Solutions Architecture | Health Interoperability | Cloud Platforms | Product Technology | Data Engineering,,https://www.waystar.com/careers/
269,Teladoc Health,Digital Health & Healthcare IT,Digital Health & Healthcare IT,Global,"Purchase, USA",,High,Not Available,,2026-07-20,Solutions Architecture | Health Interoperability | Cloud Platforms | Product Technology | Data Engineering,,https://careers.teladochealth.com/
270,Amwell,Digital Health & Healthcare IT,Digital Health & Healthcare IT,Global,"Boston, USA",,High,Not Available,,2026-07-20,Solutions Architecture | Health Interoperability | Cloud Platforms | Product Technology | Data Engineering,,https://business.amwell.com/careers/
271,Doctolib,Digital Health & Healthcare IT,Digital Health & Healthcare IT,Europe / EMEA,"Paris, France",,High,Not Available,,2026-07-20,Solutions Architecture | Health Interoperability | Cloud Platforms | Product Technology | Data Engineering,,https://careers.doctolib.com/
272,Zocdoc,Digital Health & Healthcare IT,Digital Health & Healthcare IT,Global,"New York, USA",,High,Not Available,,2026-07-20,Solutions Architecture | Health Interoperability | Cloud Platforms | Product Technology | Data Engineering,,https://www.zocdoc.com/about/careers/
273,Doximity,Digital Health & Healthcare IT,Digital Health & Healthcare IT,Global,"San Francisco, USA",,High,Not Available,,2026-07-20,Solutions Architecture | Health Interoperability | Cloud Platforms | Product Technology | Data Engineering,,https://www.doximity.com/about/careers
274,Omada Health,Digital Health & Healthcare IT,Digital Health & Healthcare IT,Global,"San Francisco, USA",,High,Not Available,,2026-07-20,Solutions Architecture | Health Interoperability | Cloud Platforms | Product Technology | Data Engineering,,https://www.omadahealth.com/careers
275,Hinge Health,Digital Health & Healthcare IT,Digital Health & Healthcare IT,Global,"San Francisco, USA",,High,Not Available,,2026-07-20,Solutions Architecture | Health Interoperability | Cloud Platforms | Product Technology | Data Engineering,,https://www.hingehealth.com/careers/
