id,title,subtitle,type,region,country,location,fit,status,posted,checked,notes,source,url,sourceClass,coverage,specialism,accountRequired,alertsAvailable,rssUrl,reviewFrequency,priority,egyptEligibility,remoteScope,officialApplyPolicy,sourceRank,sourceGroup,careersLinkQuality,lifecycleStatus
source-063,DAI Careers,Development Implementers,Job Source,Africa / Global,Global,Africa / Global,High,Careers Page Available,,2026-07-21,Development consulting; digital; governance. Review individual vacancy eligibility and deadline on the original listing.,Official employer careers,https://www.dai.com/careers,Official employer careers,Africa / Global,Development consulting; digital; governance,Yes,Job alerts,,Weekly,High,Egyptians may apply to international or eligible national roles,Some remote or regional roles,Apply on official employer careers page,6,Development Implementers,Direct careers page,Active
source-064,Chemonics Careers,Development Implementers,Job Source,Africa / Global,Global,Africa / Global,High,Careers Page Available,,2026-07-21,Development consulting; programmes; digital. Review individual vacancy eligibility and deadline on the original listing.,Official employer careers,https://chemonics.com/jobs/,Official employer careers,Africa / Global,Development consulting; programmes; digital,Yes,Job alerts,,Weekly,High,Egyptians may apply to international or eligible national roles,Some remote or regional roles,Apply on official employer careers page,6,Development Implementers,Direct careers page,Active
source-065,Palladium Careers,Development Implementers,Job Source,Africa / Global,Global,Africa / Global,High,Careers Page Available,,2026-07-21,Development consulting; health; digital. Review individual vacancy eligibility and deadline on the original listing.,Official employer careers,https://thepalladiumgroup.com/careers,Official employer careers,Africa / Global,Development consulting; health; digital,Yes,Job alerts,,Weekly,High,Egyptians may apply to international or eligible national roles,Some remote or regional roles,Apply on official employer careers page,6,Development Implementers,Direct careers page,Active
source-066,RTI International Careers,Development Implementers,Job Source,Africa / Global,Global,Africa / Global,Medium,Careers Page Available,,2026-07-21,Research; development; technology; health. Review individual vacancy eligibility and deadline on the original listing.,Official employer careers,https://www.rti.org/careers,Official employer careers,Africa / Global,Research; development; technology; health,Yes,Job alerts,,Weekly,Medium,Egyptians may apply to international or eligible national roles,Some remote or regional roles,Apply on official employer careers page,6,Development Implementers,Direct careers page,Active
source-067,Tetra Tech International Development Careers,Development Implementers,Job Source,Africa / Global,Global,Africa / Global,Medium,Careers Page Available,,2026-07-21,International development; infrastructure; digital. Review individual vacancy eligibility and deadline on the original listing.,Official employer careers,https://www.tetratech.com/en/careers,Official employer careers,Africa / Global,International development; infrastructure; digital,Yes,Job alerts,,Weekly,Medium,Egyptians may apply to international or eligible national roles,Some remote or regional roles,Apply on official employer careers page,6,Development Implementers,Direct careers page,Active
source-068,GIZ Jobs,Development Implementers,Job Source,Africa / Global,Global,Africa / Global,High,Careers Page Available,,2026-07-21,International cooperation; digital transformation; governance. Review individual vacancy eligibility and deadline on the original listing.,Official employer careers,https://www.giz.de/en/jobs.html,Official employer careers,Africa / Global,International cooperation; digital transformation; governance,Yes,Job alerts,,Weekly,High,Egyptians may apply to international or eligible national roles,Some remote or regional roles,Apply on official employer careers page,6,Development Implementers,Direct careers page,Active
source-069,Crown Agents Careers,Development Implementers,Job Source,Africa / Global,Global,Africa / Global,High,Careers Page Available,,2026-07-21,Public-sector transformation; health; supply chain. Review individual vacancy eligibility and deadline on the original listing.,Official employer careers,https://www.crownagents.com/careers/,Official employer careers,Africa / Global,Public-sector transformation; health; supply chain,Yes,Job alerts,,Weekly,High,Egyptians may apply to international or eligible national roles,Some remote or regional roles,Apply on official employer careers page,6,Development Implementers,Direct careers page,Active
source-070,Abt Global Careers,Development Implementers,Job Source,Africa / Global,Global,Africa / Global,Medium,Careers Page Available,,2026-07-21,Health; development; data; digital. Review individual vacancy eligibility and deadline on the original listing.,Official employer careers,https://www.abtglobal.com/careers,Official employer careers,Africa / Global,Health; development; data; digital,Yes,Job alerts,,Weekly,Medium,Egyptians may apply to international or eligible national roles,Some remote or regional roles,Apply on official employer careers page,6,Development Implementers,Direct careers page,Active
source-071,Cowater International Careers,Development Implementers,Job Source,Africa / Global,Global,Africa / Global,Medium,Careers Page Available,,2026-07-21,Development consulting; governance; infrastructure. Review individual vacancy eligibility and deadline on the original listing.,Official employer careers,https://www.cowater.com/en/careers/,Official employer careers,Africa / Global,Development consulting; governance; infrastructure,Yes,Job alerts,,Weekly,Medium,Egyptians may apply to international or eligible national roles,Some remote or regional roles,Apply on official employer careers page,6,Development Implementers,Direct careers page,Active
source-072,Oxford Policy Management Careers,Development Implementers,Job Source,Africa / Global,Global,Africa / Global,Medium,Careers Page Available,,2026-07-21,Policy consulting; development; data. Review individual vacancy eligibility and deadline on the original listing.,Official employer careers,https://www.opml.co.uk/work-with-us,Official employer careers,Africa / Global,Policy consulting; development; data,Yes,Job alerts,,Weekly,Medium,Egyptians may apply to international or eligible national roles,Some remote or regional roles,Apply on official employer careers page,6,Development Implementers,Direct careers page,Active
source-073,Save the Children Careers,Humanitarian Employers,Job Source,Africa / Global,Global,Africa / Global,High,Careers Page Available,,2026-07-21,Humanitarian; development; technology; programmes. Review individual vacancy eligibility and deadline on the original listing.,Official employer careers,https://jobs.savethechildren.org.uk/,Official employer careers,Africa / Global,Humanitarian; development; technology; programmes,Yes,Job alerts,,Weekly,High,Egyptians may apply to international or eligible national roles,Some remote or regional roles,Apply on official employer careers page,6,Humanitarian Employers,Direct careers page,Active
source-074,International Rescue Committee Careers,Humanitarian Employers,Job Source,Africa / Global,Global,Africa / Global,High,Careers Page Available,,2026-07-21,Humanitarian; refugee response; technology. Review individual vacancy eligibility and deadline on the original listing.,Official employer careers,https://careers.rescue.org/,Official employer careers,Africa / Global,Humanitarian; refugee response; technology,Yes,Job alerts,,Weekly,High,Egyptians may apply to international or eligible national roles,Some remote or regional roles,Apply on official employer careers page,6,Humanitarian Employers,Direct careers page,Active
source-075,World Vision Careers,Humanitarian Employers,Job Source,Africa / Global,Global,Africa / Global,High,Careers Page Available,,2026-07-21,Humanitarian; development; digital; health. Review individual vacancy eligibility and deadline on the original listing.,Official employer careers,https://www.wvi.org/careers,Official employer careers,Africa / Global,Humanitarian; development; digital; health,Yes,Job alerts,,Weekly,High,Egyptians may apply to international or eligible national roles,Some remote or regional roles,Apply on official employer careers page,6,Humanitarian Employers,Direct careers page,Active
source-076,CARE Careers,Humanitarian Employers,Job Source,Africa / Global,Global,Africa / Global,Medium,Careers Page Available,,2026-07-21,Humanitarian; development; programmes. Review individual vacancy eligibility and deadline on the original listing.,Official employer careers,https://www.care.org/careers/,Official employer careers,Africa / Global,Humanitarian; development; programmes,Yes,Job alerts,,Weekly,Medium,Egyptians may apply to international or eligible national roles,Some remote or regional roles,Apply on official employer careers page,6,Humanitarian Employers,Direct careers page,Active
source-077,Mercy Corps Careers,Humanitarian Employers,Job Source,Africa / Global,Global,Africa / Global,Medium,Careers Page Available,,2026-07-21,Humanitarian; development; technology. Review individual vacancy eligibility and deadline on the original listing.,Official employer careers,https://www.mercycorps.org/careers,Official employer careers,Africa / Global,Humanitarian; development; technology,Yes,Job alerts,,Weekly,Medium,Egyptians may apply to international or eligible national roles,Some remote or regional roles,Apply on official employer careers page,6,Humanitarian Employers,Direct careers page,Active
source-078,ICRC Careers,Humanitarian Organization,Job Source,Global,Global,Global,High,Careers Page Available,,2026-07-21,"Official International Committee of the Red Cross vacancies, including information technology, data management, healthcare, logistics and leadership roles.",Official humanitarian employer,https://careers.icrc.org/Current,Official humanitarian employer,Global,Humanitarian operations; IT; data; health; logistics; leadership,Yes,Job alerts,,Daily,High,International and national roles; check each vacancy,Mostly duty-station based,Apply through the official ICRC careers portal,6,Humanitarian Organizations,Direct careers page,Active
source-079,IFRC Careers,Humanitarian Network,Job Source,Global,Global,Global,High,Careers Page Available,,2026-07-21,"Official IFRC jobs, consultancies and internships across the Red Cross and Red Crescent network.",Official humanitarian employer,https://www.ifrc.org/get-involved/work-us,Official humanitarian employer,Global,Humanitarian operations; digital; programme management; consultancies,Yes,Portal alerts,,Daily,High,Externally advertised roles are open subject to vacancy conditions,Duty-station and selected consultancy roles,Apply through the official IFRC jobs portal,6,Humanitarian Organizations,Direct careers page,Active
source-080,Norwegian Refugee Council Careers,Humanitarian NGO,Job Source,Global / Africa / MENA,Global,40+ countries,High,Careers Page Available,,2026-07-21,Official NRC careers source for local and international humanitarian roles.,Official humanitarian employer,https://www.nrc.no/careers/,Official humanitarian employer,Africa; MENA; Global,Humanitarian programmes; ICT; information management; operations; leadership,Yes,Job alerts,,Daily,High,International and national roles; check nationality conditions,Mostly duty-station based,Apply through NRC NORCAP Careers,6,Humanitarian Organizations,Direct careers page,Active
source-081,NORCAP Expert Deployments,Humanitarian Expert Roster,Job Source,Global,Global,Global deployments,High,Careers Page Available,,2026-07-21,"Expert deployment and roster opportunities in humanitarian action, development, peacebuilding and crisis response.",Official humanitarian roster,https://www.nrc.no/expert-deployment/,Official humanitarian employer,Global,Expert deployments; digital; coordination; humanitarian response; peacebuilding,Yes,Roster and vacancy alerts,,Weekly,High,International expert opportunities; profile-specific,Deployment-based; some remote inputs may occur,Apply through official NRC/NORCAP systems,6,Humanitarian Rosters,Direct careers page,Active
source-082,Danish Refugee Council Careers,Humanitarian NGO,Job Source,Africa / MENA / Global,Global,30+ countries,High,Careers Page Available,,2026-07-21,"Official DRC vacancies with filters for Africa, IT, information management, senior management, programme management and contract type.",Official humanitarian employer,https://drc.ngo/en/jobs/,Official humanitarian employer,Africa; MENA; Global,IT; information management; senior management; humanitarian programmes; supply chain,Yes,Email alerts,,Daily,High,"National, expatriate and mixed eligibility shown per vacancy",Mostly duty-station based; roving/global roles available,Apply on the official DRC careers page,6,Humanitarian Organizations,Direct careers page,Active
source-083,Oxfam International Careers,Humanitarian & Development NGO,Job Source,Global,Global,70+ countries,High,Careers Page Available,,2026-07-21,"Oxfam International Secretariat and affiliate vacancies across humanitarian, development, campaigning and technology functions.",Official NGO careers,https://www.oxfam.org/en/take-action/jobs,Official humanitarian employer,Global,Development; humanitarian; technology transformation; operations; campaigns,Varies,Affiliate and portal alerts,,Daily,High,International and affiliate-specific roles,Role-specific; some hybrid and remote positions,Use the official Oxfam vacancy or affiliate application link,6,Humanitarian & Development NGOs,Direct careers page,Active
source-084,Oxfam in Africa Jobs,Africa Development NGO,Job Source,Africa,Africa,Africa,High,Careers Page Available,,2026-07-21,"Africa-focused Oxfam jobs, consultancies and service-provider opportunities across country offices.",Official Africa NGO careers,https://africa.oxfam.org/get-involved/jobs-oxfam,Official humanitarian employer,Africa,Africa development; humanitarian; policy; consultancies; technology,Varies,Website updates,,Daily,High,Africa and country-office roles; check each notice,Role-specific,Apply according to the official Oxfam Africa notice,6,Africa NGOs,Direct careers page,Active
source-085,Plan International Careers,Development & Humanitarian NGO,Job Source,Global / Africa / MENA,Global,Global,High,Careers Page Available,,2026-07-21,"Official Plan International vacancies, emergency roster and regional opportunities.",Official NGO careers,https://jobs.plan-international.org/,Official humanitarian employer,Africa; MENA; Global,Development; humanitarian response; digital; programme operations; leadership,Yes,Talent network and job alerts,,Daily,High,"International, regional and country roles; check vacancy",Some global and consultancy roles,Apply through the official Plan International portal,6,Humanitarian & Development NGOs,Direct careers page,Active
source-086,Médecins Sans Frontières Careers,Medical Humanitarian NGO,Job Source,Global / Africa / MENA,Global,Global,High,Careers Page Available,,2026-07-21,"MSF field and office roles across medical, logistics, IT, administration, finance and senior management.",Official medical humanitarian careers,https://www.msf.org/work-msf,Official humanitarian employer,Global,Medical humanitarian; IT; logistics; administration; health operations,Varies by recruiting office,Recruiting-office updates,,Weekly,High,Recruitment route depends on country of residence and role type,Mostly field or office based,Follow the official MSF recruiting-office route,6,Health & Humanitarian Organizations,Direct careers page,Active
source-087,International Medical Corps Careers,Medical Humanitarian NGO,Job Source,Global / Africa / MENA,Global,Global,High,Careers Page Available,,2026-07-21,"Official International Medical Corps openings for health, technology, operations, logistics and programme roles.",Official medical humanitarian careers,https://internationalmedicalcorps.org/work-with-us/,Official humanitarian employer,Africa; MENA; Global,Global health; humanitarian operations; IT; logistics; programme management,Yes,Careers portal alerts,,Daily,High,International and country-specific roles; check each opening,Mostly duty-station based,Apply through the official International Medical Corps careers portal,6,Health & Humanitarian Organizations,Direct careers page,Active
source-088,UNGM — Individual Consultants,United Nations Global Marketplace,Job / Opportunity Source,Global,Global,Global,High,Careers Page Available,,2026-07-21,Official UN procurement platform. Register as an Individual Consultant and search calls for individual consultants; this is not a staff-jobs portal.,Official opportunity source,https://www.ungm.org/Public/Notice,Official multilateral procurement,Global,Individual consultants; procurement; professional services,Yes,Saved searches / email,,Daily,High,Global consultant registration; notice-specific eligibility,Assignment-specific,Register and submit through the notice instructions,6,Consulting & Procurement,Official procurement opportunities,Active
source-089,UNGM — Implementing Partners,United Nations Global Marketplace,Job / Opportunity Source,Global,Global,Global,High,Careers Page Available,,2026-07-21,"Official registration route for non-profits, NGOs and academic institutions seeking calls for implementing partners.",Official opportunity source,https://www.ungm.org/Account/Registration/Index,Official multilateral procurement,Global,Implementing partners; NGOs; development and humanitarian delivery,Yes,Account notifications,,Weekly,Medium,Organizations and institutions; call-specific,Project-specific,Register as implementing partner and follow each call,6,Consulting & Procurement,Official registration and opportunity platform,Active
source-090,World Bank Group — WBGeProcure RFx Now,World Bank Group,Job / Opportunity Source,Global,Global,Global,High,Careers Page Available,,2026-07-21,Official operational consulting opportunities platform replacing eConsultant2 for relevant World Bank Group business opportunities.,Official opportunity source,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/list.html,Official development bank procurement,Global,EOIs; consulting firms; operational consulting; digital and sector advisory,Yes for EOI submission,Portal account,,Daily,High,Notice-specific; global vendor participation,Assignment-specific,Express interest through WBGeProcure RFx Now,6,Development Banks,Direct consulting advertisement portal,Active
source-091,African Development Bank — E-Consultant,African Development Bank Group,Job / Opportunity Source,Africa / Global,Global,Africa / Global,High,Careers Page Available,,2026-07-21,"Official database and entry point for individual consultants and consulting firms, with current expressions of interest.",Official opportunity source,https://www.afdb.org/en/projects-and-operations/procurement/consultancy-services-e-consultant,Official development bank procurement,Africa / Global,Individual consultants; consulting firms; EOIs; African development,Yes,Portal / notices,,Daily,High,Assignment-specific; many Africa-wide opportunities,Home-based and duty-station assignments,Register and apply through AfDB consultant instructions,6,Development Banks,Direct official consultancy portal,Active
source-092,UN Talent Pipeline,United Nations Secretariat,Job / Opportunity Source,Developing countries / UN job families,Global,Developing countries / UN job families,High,Careers Page Available,,2026-07-21,Capacity-building and talent-pipeline programme. Participation can improve readiness but does not guarantee employment.,Official opportunity source,https://careers.un.org/talentpipeline,Official multilateral careers,Developing countries / UN job families,Talent pipeline; professional job families; career readiness,Application required,Programme announcements,,Monthly,Medium,Check current country and pipeline eligibility,Virtual learning programme; not a job,Apply to one eligible pipeline through the official portal,6,Rosters & Talent Pools,Direct official talent pipeline,Active
source-093,United Nations Volunteers,UNV,Job / Opportunity Source,Global,Global,Global,High,Careers Page Available,,2026-07-21,"Official source for national, international and online UN Volunteer assignments. Conditions, allowances and residence rules vary by category.",Official opportunity source,https://www.unv.org/become-volunteer/,Official multilateral careers,Global,National UNV; international UNV; online volunteering; specialist assignments,Yes,Talent pool / portal,,Weekly,High,"National, international and online categories; assignment-specific",Online and duty-station assignments,Create a profile and apply through UNV systems,6,Volunteer Assignments,Direct official volunteer portal,Active
source-094,EEAS Vacancies,European External Action Service,Job / Opportunity Source,EU delegations / Global,Global,EU delegations / Global,High,Careers Page Available,,2026-07-21,"Official vacancies including local agents, contract agents, temporary positions, traineeships, delegation roles, secondments and CSDP missions.",Official opportunity source,https://www.eeas.europa.eu/eeas/vacancies_en,Official regional institution,EU delegations / Global,Secondments; EU delegations; CSDP; local and contract agents; IT,Varies,Vacancy portal,,Weekly,Medium,Local-agent roles may be country-specific; secondments may require nomination,Mostly duty-station roles,Follow the vacancy notice and nationality / nomination rules,6,EU & Secondments,Direct official vacancies page,Active
source-095,EURAXESS Africa,European Commission Research Network,Job / Opportunity Source,Africa / Europe / Global,Global,Africa / Europe / Global,High,Careers Page Available,,2026-07-21,"Official Africa gateway to research jobs, funding, mobility and EU–Africa innovation collaboration.",Official opportunity source,https://euraxess.ec.europa.eu/worldwide/africa,Official regional institution,Africa / Europe / Global,Research jobs; funding; digital transformation; innovation; academic mobility,Optional,Portal alerts / newsletter,,Weekly,Medium,Opportunity-specific; Africa and EU mobility programmes,Research and mobility conditions vary,Apply through the linked official opportunity,6,Research & Innovation,Official research and funding gateway,Active
