id,record_type,category,title,organization,subtitle,role_family,type,industry,region,country,location,availability_status,published_date,expiry_date,last_checked,posted_text,source,source_quality,source_quality_label,verification_level,match_score,fit,priority_tier,url,notes
project-00072,Project / Tender,project,AfDB Consultants — Systems Integration Search,African Development Bank consultancies,African Development Bank consultancies,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,AfDB Consultants,A,Official / primary source,Official,53,Low,,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00073,Project / Tender,project,AfDB Consultants — Project Management Search,African Development Bank consultancies,African Development Bank consultancies,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,AfDB Consultants,A,Official / primary source,Official,52,Low,,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00074,Project / Tender,project,AfDB Consultants — Technical Assistance Search,African Development Bank consultancies,African Development Bank consultancies,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,AfDB Consultants,A,Official / primary source,Official,52,Low,,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00075,Project / Tender,project,AfDB Consultants — Business Process Reengineering Search,African Development Bank consultancies,African Development Bank consultancies,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,AfDB Consultants,A,Official / primary source,Official,52,Low,,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00076,Project / Tender,project,AfDB Corporate Procurement — Ict Consulting Search,AfDB procurement,AfDB procurement,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,AfDB Corporate Procurement,A,Official / primary source,Official,53,Low,,https://www.afdb.org/en/about-us/corporate-procurement,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00077,Project / Tender,project,AfDB Corporate Procurement — Digital Transformation Search,AfDB procurement,AfDB procurement,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,AfDB Corporate Procurement,A,Official / primary source,Official,57,Low,,https://www.afdb.org/en/about-us/corporate-procurement,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00078,Project / Tender,project,AfDB Corporate Procurement — Software Development Search,AfDB procurement,AfDB procurement,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,AfDB Corporate Procurement,A,Official / primary source,Official,53,Low,,https://www.afdb.org/en/about-us/corporate-procurement,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00079,Project / Tender,project,AfDB Corporate Procurement — Enterprise Architecture Search,AfDB procurement,AfDB procurement,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,AfDB Corporate Procurement,A,Official / primary source,Official,68,Medium,,https://www.afdb.org/en/about-us/corporate-procurement,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00080,Project / Tender,project,AfDB Corporate Procurement — Data Governance Search,AfDB procurement,AfDB procurement,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,AfDB Corporate Procurement,A,Official / primary source,Official,60,Medium,,https://www.afdb.org/en/about-us/corporate-procurement,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00081,Project / Tender,project,AfDB Corporate Procurement — Digital Health Search,AfDB procurement,AfDB procurement,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,AfDB Corporate Procurement,A,Official / primary source,Official,59,Low,,https://www.afdb.org/en/about-us/corporate-procurement,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00082,Project / Tender,project,AfDB Corporate Procurement — Health Information Systems Search,AfDB procurement,AfDB procurement,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,AfDB Corporate Procurement,A,Official / primary source,Official,55,Low,,https://www.afdb.org/en/about-us/corporate-procurement,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00083,Project / Tender,project,AfDB Corporate Procurement — Cloud Migration Search,AfDB procurement,AfDB procurement,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,AfDB Corporate Procurement,A,Official / primary source,Official,55,Low,,https://www.afdb.org/en/about-us/corporate-procurement,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00084,Project / Tender,project,AfDB Corporate Procurement — Cybersecurity Consulting Search,AfDB procurement,AfDB procurement,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,AfDB Corporate Procurement,A,Official / primary source,Official,53,Low,,https://www.afdb.org/en/about-us/corporate-procurement,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00085,Project / Tender,project,AfDB Corporate Procurement — Ai Strategy Search,AfDB procurement,AfDB procurement,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,AfDB Corporate Procurement,A,Official / primary source,Official,53,Low,,https://www.afdb.org/en/about-us/corporate-procurement,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00086,Project / Tender,project,AfDB Corporate Procurement — Erp Implementation Search,AfDB procurement,AfDB procurement,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,AfDB Corporate Procurement,A,Official / primary source,Official,55,Low,,https://www.afdb.org/en/about-us/corporate-procurement,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00087,Project / Tender,project,AfDB Corporate Procurement — Systems Integration Search,AfDB procurement,AfDB procurement,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,AfDB Corporate Procurement,A,Official / primary source,Official,55,Low,,https://www.afdb.org/en/about-us/corporate-procurement,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00088,Project / Tender,project,AfDB Corporate Procurement — Project Management Search,AfDB procurement,AfDB procurement,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,AfDB Corporate Procurement,A,Official / primary source,Official,53,Low,,https://www.afdb.org/en/about-us/corporate-procurement,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00089,Project / Tender,project,AfDB Corporate Procurement — Technical Assistance Search,AfDB procurement,AfDB procurement,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,AfDB Corporate Procurement,A,Official / primary source,Official,53,Low,,https://www.afdb.org/en/about-us/corporate-procurement,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00090,Project / Tender,project,AfDB Corporate Procurement — Business Process Reengineering Search,AfDB procurement,AfDB procurement,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,AfDB Corporate Procurement,A,Official / primary source,Official,53,Low,,https://www.afdb.org/en/about-us/corporate-procurement,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00091,Project / Tender,project,EBRD ECEPP — Ict Consulting Search,EBRD procurement and consulting,EBRD procurement and consulting,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,EBRD ECEPP,A,Official / primary source,Official,53,Low,,https://ecepp.ebrd.com/,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00092,Project / Tender,project,EBRD ECEPP — Digital Transformation Search,EBRD procurement and consulting,EBRD procurement and consulting,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,EBRD ECEPP,A,Official / primary source,Official,57,Low,,https://ecepp.ebrd.com/,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00093,Project / Tender,project,EBRD ECEPP — Software Development Search,EBRD procurement and consulting,EBRD procurement and consulting,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,EBRD ECEPP,A,Official / primary source,Official,53,Low,,https://ecepp.ebrd.com/,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00094,Project / Tender,project,EBRD ECEPP — Enterprise Architecture Search,EBRD procurement and consulting,EBRD procurement and consulting,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,EBRD ECEPP,A,Official / primary source,Official,68,Medium,,https://ecepp.ebrd.com/,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00095,Project / Tender,project,EBRD ECEPP — Data Governance Search,EBRD procurement and consulting,EBRD procurement and consulting,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,EBRD ECEPP,A,Official / primary source,Official,60,Medium,,https://ecepp.ebrd.com/,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00096,Project / Tender,project,EBRD ECEPP — Digital Health Search,EBRD procurement and consulting,EBRD procurement and consulting,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,EBRD ECEPP,A,Official / primary source,Official,59,Low,,https://ecepp.ebrd.com/,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00097,Project / Tender,project,EBRD ECEPP — Health Information Systems Search,EBRD procurement and consulting,EBRD procurement and consulting,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,EBRD ECEPP,A,Official / primary source,Official,55,Low,,https://ecepp.ebrd.com/,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00098,Project / Tender,project,EBRD ECEPP — Cloud Migration Search,EBRD procurement and consulting,EBRD procurement and consulting,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,EBRD ECEPP,A,Official / primary source,Official,55,Low,,https://ecepp.ebrd.com/,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00099,Project / Tender,project,EBRD ECEPP — Cybersecurity Consulting Search,EBRD procurement and consulting,EBRD procurement and consulting,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,EBRD ECEPP,A,Official / primary source,Official,53,Low,,https://ecepp.ebrd.com/,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00100,Project / Tender,project,EBRD ECEPP — Ai Strategy Search,EBRD procurement and consulting,EBRD procurement and consulting,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,EBRD ECEPP,A,Official / primary source,Official,53,Low,,https://ecepp.ebrd.com/,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00101,Project / Tender,project,EBRD ECEPP — Erp Implementation Search,EBRD procurement and consulting,EBRD procurement and consulting,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,EBRD ECEPP,A,Official / primary source,Official,55,Low,,https://ecepp.ebrd.com/,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00102,Project / Tender,project,EBRD ECEPP — Systems Integration Search,EBRD procurement and consulting,EBRD procurement and consulting,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,EBRD ECEPP,A,Official / primary source,Official,55,Low,,https://ecepp.ebrd.com/,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00103,Project / Tender,project,EBRD ECEPP — Project Management Search,EBRD procurement and consulting,EBRD procurement and consulting,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,EBRD ECEPP,A,Official / primary source,Official,53,Low,,https://ecepp.ebrd.com/,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00104,Project / Tender,project,EBRD ECEPP — Technical Assistance Search,EBRD procurement and consulting,EBRD procurement and consulting,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,EBRD ECEPP,A,Official / primary source,Official,53,Low,,https://ecepp.ebrd.com/,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00105,Project / Tender,project,EBRD ECEPP — Business Process Reengineering Search,EBRD procurement and consulting,EBRD procurement and consulting,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,EBRD ECEPP,A,Official / primary source,Official,53,Low,,https://ecepp.ebrd.com/,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00106,Project / Tender,project,IsDB Procurement — Ict Consulting Search,Islamic Development Bank procurement,Islamic Development Bank procurement,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,IsDB Procurement,A,Official / primary source,Official,53,Low,,https://www.isdb.org/project-procurement,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00107,Project / Tender,project,IsDB Procurement — Digital Transformation Search,Islamic Development Bank procurement,Islamic Development Bank procurement,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,IsDB Procurement,A,Official / primary source,Official,57,Low,,https://www.isdb.org/project-procurement,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00108,Project / Tender,project,IsDB Procurement — Software Development Search,Islamic Development Bank procurement,Islamic Development Bank procurement,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,IsDB Procurement,A,Official / primary source,Official,53,Low,,https://www.isdb.org/project-procurement,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00109,Project / Tender,project,IsDB Procurement — Enterprise Architecture Search,Islamic Development Bank procurement,Islamic Development Bank procurement,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,IsDB Procurement,A,Official / primary source,Official,68,Medium,,https://www.isdb.org/project-procurement,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00110,Project / Tender,project,IsDB Procurement — Data Governance Search,Islamic Development Bank procurement,Islamic Development Bank procurement,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,IsDB Procurement,A,Official / primary source,Official,60,Medium,,https://www.isdb.org/project-procurement,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00111,Project / Tender,project,IsDB Procurement — Digital Health Search,Islamic Development Bank procurement,Islamic Development Bank procurement,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,IsDB Procurement,A,Official / primary source,Official,59,Low,,https://www.isdb.org/project-procurement,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00112,Project / Tender,project,IsDB Procurement — Health Information Systems Search,Islamic Development Bank procurement,Islamic Development Bank procurement,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,IsDB Procurement,A,Official / primary source,Official,55,Low,,https://www.isdb.org/project-procurement,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00113,Project / Tender,project,IsDB Procurement — Cloud Migration Search,Islamic Development Bank procurement,Islamic Development Bank procurement,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,IsDB Procurement,A,Official / primary source,Official,55,Low,,https://www.isdb.org/project-procurement,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00114,Project / Tender,project,IsDB Procurement — Cybersecurity Consulting Search,Islamic Development Bank procurement,Islamic Development Bank procurement,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,IsDB Procurement,A,Official / primary source,Official,53,Low,,https://www.isdb.org/project-procurement,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00115,Project / Tender,project,IsDB Procurement — Ai Strategy Search,Islamic Development Bank procurement,Islamic Development Bank procurement,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,IsDB Procurement,A,Official / primary source,Official,53,Low,,https://www.isdb.org/project-procurement,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00116,Project / Tender,project,IsDB Procurement — Erp Implementation Search,Islamic Development Bank procurement,Islamic Development Bank procurement,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,IsDB Procurement,A,Official / primary source,Official,55,Low,,https://www.isdb.org/project-procurement,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00117,Project / Tender,project,IsDB Procurement — Systems Integration Search,Islamic Development Bank procurement,Islamic Development Bank procurement,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,IsDB Procurement,A,Official / primary source,Official,55,Low,,https://www.isdb.org/project-procurement,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00118,Project / Tender,project,IsDB Procurement — Project Management Search,Islamic Development Bank procurement,Islamic Development Bank procurement,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,IsDB Procurement,A,Official / primary source,Official,53,Low,,https://www.isdb.org/project-procurement,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00119,Project / Tender,project,IsDB Procurement — Technical Assistance Search,Islamic Development Bank procurement,Islamic Development Bank procurement,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,IsDB Procurement,A,Official / primary source,Official,53,Low,,https://www.isdb.org/project-procurement,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00120,Project / Tender,project,IsDB Procurement — Business Process Reengineering Search,Islamic Development Bank procurement,Islamic Development Bank procurement,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,IsDB Procurement,A,Official / primary source,Official,53,Low,,https://www.isdb.org/project-procurement,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00121,Project / Tender,project,EU Funding and Tenders — Ict Consulting Search,European Union tenders,European Union tenders,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,EU Funding and Tenders,A,Official / primary source,Official,52,Low,,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00122,Project / Tender,project,EU Funding and Tenders — Digital Transformation Search,European Union tenders,European Union tenders,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,EU Funding and Tenders,A,Official / primary source,Official,55,Low,,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00123,Project / Tender,project,EU Funding and Tenders — Software Development Search,European Union tenders,European Union tenders,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,EU Funding and Tenders,A,Official / primary source,Official,52,Low,,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00124,Project / Tender,project,EU Funding and Tenders — Enterprise Architecture Search,European Union tenders,European Union tenders,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,EU Funding and Tenders,A,Official / primary source,Official,66,Medium,,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00125,Project / Tender,project,EU Funding and Tenders — Data Governance Search,European Union tenders,European Union tenders,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,EU Funding and Tenders,A,Official / primary source,Official,59,Low,,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00126,Project / Tender,project,EU Funding and Tenders — Digital Health Search,European Union tenders,European Union tenders,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,EU Funding and Tenders,A,Official / primary source,Official,57,Low,,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00127,Project / Tender,project,EU Funding and Tenders — Health Information Systems Search,European Union tenders,European Union tenders,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,EU Funding and Tenders,A,Official / primary source,Official,53,Low,,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00128,Project / Tender,project,EU Funding and Tenders — Cloud Migration Search,European Union tenders,European Union tenders,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,EU Funding and Tenders,A,Official / primary source,Official,53,Low,,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00129,Project / Tender,project,EU Funding and Tenders — Cybersecurity Consulting Search,European Union tenders,European Union tenders,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,EU Funding and Tenders,A,Official / primary source,Official,52,Low,,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00130,Project / Tender,project,EU Funding and Tenders — Ai Strategy Search,European Union tenders,European Union tenders,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,EU Funding and Tenders,A,Official / primary source,Official,52,Low,,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00131,Project / Tender,project,EU Funding and Tenders — Erp Implementation Search,European Union tenders,European Union tenders,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,EU Funding and Tenders,A,Official / primary source,Official,53,Low,,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00132,Project / Tender,project,EU Funding and Tenders — Systems Integration Search,European Union tenders,European Union tenders,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,EU Funding and Tenders,A,Official / primary source,Official,53,Low,,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00133,Project / Tender,project,EU Funding and Tenders — Project Management Search,European Union tenders,European Union tenders,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,EU Funding and Tenders,A,Official / primary source,Official,52,Low,,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00134,Project / Tender,project,EU Funding and Tenders — Technical Assistance Search,European Union tenders,European Union tenders,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,EU Funding and Tenders,A,Official / primary source,Official,52,Low,,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00135,Project / Tender,project,EU Funding and Tenders — Business Process Reengineering Search,European Union tenders,European Union tenders,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,EU Funding and Tenders,A,Official / primary source,Official,52,Low,,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00136,Project / Tender,project,Devex Consulting — Ict Consulting Search,Development consulting jobs,Development consulting jobs,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,Devex Consulting,A,Official / primary source,Official,52,Low,,https://www.devex.com/jobs/search,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00137,Project / Tender,project,Devex Consulting — Digital Transformation Search,Development consulting jobs,Development consulting jobs,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,Devex Consulting,A,Official / primary source,Official,55,Low,,https://www.devex.com/jobs/search,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00138,Project / Tender,project,Devex Consulting — Software Development Search,Development consulting jobs,Development consulting jobs,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,Devex Consulting,A,Official / primary source,Official,52,Low,,https://www.devex.com/jobs/search,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00139,Project / Tender,project,Devex Consulting — Enterprise Architecture Search,Development consulting jobs,Development consulting jobs,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,Devex Consulting,A,Official / primary source,Official,66,Medium,,https://www.devex.com/jobs/search,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00140,Project / Tender,project,Devex Consulting — Data Governance Search,Development consulting jobs,Development consulting jobs,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,Devex Consulting,A,Official / primary source,Official,59,Low,,https://www.devex.com/jobs/search,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00141,Project / Tender,project,Devex Consulting — Digital Health Search,Development consulting jobs,Development consulting jobs,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,Devex Consulting,A,Official / primary source,Official,57,Low,,https://www.devex.com/jobs/search,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00142,Project / Tender,project,Devex Consulting — Health Information Systems Search,Development consulting jobs,Development consulting jobs,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,Devex Consulting,A,Official / primary source,Official,53,Low,,https://www.devex.com/jobs/search,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00143,Project / Tender,project,Devex Consulting — Cloud Migration Search,Development consulting jobs,Development consulting jobs,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,Devex Consulting,A,Official / primary source,Official,53,Low,,https://www.devex.com/jobs/search,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00144,Project / Tender,project,Devex Consulting — Cybersecurity Consulting Search,Development consulting jobs,Development consulting jobs,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,Devex Consulting,A,Official / primary source,Official,52,Low,,https://www.devex.com/jobs/search,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00145,Project / Tender,project,Devex Consulting — Ai Strategy Search,Development consulting jobs,Development consulting jobs,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,Devex Consulting,A,Official / primary source,Official,52,Low,,https://www.devex.com/jobs/search,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00146,Project / Tender,project,Devex Consulting — Erp Implementation Search,Development consulting jobs,Development consulting jobs,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,Devex Consulting,A,Official / primary source,Official,53,Low,,https://www.devex.com/jobs/search,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00147,Project / Tender,project,Devex Consulting — Systems Integration Search,Development consulting jobs,Development consulting jobs,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,Devex Consulting,A,Official / primary source,Official,53,Low,,https://www.devex.com/jobs/search,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00148,Project / Tender,project,Devex Consulting — Project Management Search,Development consulting jobs,Development consulting jobs,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,Devex Consulting,A,Official / primary source,Official,52,Low,,https://www.devex.com/jobs/search,Search the portal using the stated keyword; deadlines and eligibility change frequently.
