id,title,subtitle,type,region,country,location,fit,status,posted,checked,notes,source,url
100,EBRD ECEPP — Ai Strategy Search,EBRD procurement and consulting,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,EBRD ECEPP,https://ecepp.ebrd.com/
101,EBRD ECEPP — Erp Implementation Search,EBRD procurement and consulting,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,EBRD ECEPP,https://ecepp.ebrd.com/
102,EBRD ECEPP — Systems Integration Search,EBRD procurement and consulting,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,EBRD ECEPP,https://ecepp.ebrd.com/
103,EBRD ECEPP — Project Management Search,EBRD procurement and consulting,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,EBRD ECEPP,https://ecepp.ebrd.com/
104,EBRD ECEPP — Technical Assistance Search,EBRD procurement and consulting,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,EBRD ECEPP,https://ecepp.ebrd.com/
105,EBRD ECEPP — Business Process Reengineering Search,EBRD procurement and consulting,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,EBRD ECEPP,https://ecepp.ebrd.com/
106,IsDB Procurement — Ict Consulting Search,Islamic Development Bank procurement,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,IsDB Procurement,https://www.isdb.org/project-procurement
107,IsDB Procurement — Digital Transformation Search,Islamic Development Bank procurement,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,IsDB Procurement,https://www.isdb.org/project-procurement
108,IsDB Procurement — Software Development Search,Islamic Development Bank procurement,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,IsDB Procurement,https://www.isdb.org/project-procurement
109,IsDB Procurement — Enterprise Architecture Search,Islamic Development Bank procurement,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,IsDB Procurement,https://www.isdb.org/project-procurement
110,IsDB Procurement — Data Governance Search,Islamic Development Bank procurement,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,IsDB Procurement,https://www.isdb.org/project-procurement
111,IsDB Procurement — Digital Health Search,Islamic Development Bank procurement,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,IsDB Procurement,https://www.isdb.org/project-procurement
112,IsDB Procurement — Health Information Systems Search,Islamic Development Bank procurement,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,IsDB Procurement,https://www.isdb.org/project-procurement
113,IsDB Procurement — Cloud Migration Search,Islamic Development Bank procurement,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,IsDB Procurement,https://www.isdb.org/project-procurement
114,IsDB Procurement — Cybersecurity Consulting Search,Islamic Development Bank procurement,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,IsDB Procurement,https://www.isdb.org/project-procurement
115,IsDB Procurement — Ai Strategy Search,Islamic Development Bank procurement,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,IsDB Procurement,https://www.isdb.org/project-procurement
116,IsDB Procurement — Erp Implementation Search,Islamic Development Bank procurement,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,IsDB Procurement,https://www.isdb.org/project-procurement
117,IsDB Procurement — Systems Integration Search,Islamic Development Bank procurement,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,IsDB Procurement,https://www.isdb.org/project-procurement
118,IsDB Procurement — Project Management Search,Islamic Development Bank procurement,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,IsDB Procurement,https://www.isdb.org/project-procurement
119,IsDB Procurement — Technical Assistance Search,Islamic Development Bank procurement,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,IsDB Procurement,https://www.isdb.org/project-procurement
120,IsDB Procurement — Business Process Reengineering Search,Islamic Development Bank procurement,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,IsDB Procurement,https://www.isdb.org/project-procurement
121,EU Funding and Tenders — Ict Consulting Search,European Union tenders,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,EU Funding and Tenders,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home
122,EU Funding and Tenders — Digital Transformation Search,European Union tenders,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,EU Funding and Tenders,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home
123,EU Funding and Tenders — Software Development Search,European Union tenders,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,EU Funding and Tenders,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home
124,EU Funding and Tenders — Enterprise Architecture Search,European Union tenders,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,EU Funding and Tenders,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home
125,EU Funding and Tenders — Data Governance Search,European Union tenders,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,EU Funding and Tenders,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home
126,EU Funding and Tenders — Digital Health Search,European Union tenders,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,EU Funding and Tenders,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home
127,EU Funding and Tenders — Health Information Systems Search,European Union tenders,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,EU Funding and Tenders,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home
128,EU Funding and Tenders — Cloud Migration Search,European Union tenders,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,EU Funding and Tenders,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home
129,EU Funding and Tenders — Cybersecurity Consulting Search,European Union tenders,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,EU Funding and Tenders,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home
130,EU Funding and Tenders — Ai Strategy Search,European Union tenders,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,EU Funding and Tenders,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home
131,EU Funding and Tenders — Erp Implementation Search,European Union tenders,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,EU Funding and Tenders,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home
132,EU Funding and Tenders — Systems Integration Search,European Union tenders,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,EU Funding and Tenders,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home
133,EU Funding and Tenders — Project Management Search,European Union tenders,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,EU Funding and Tenders,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home
134,EU Funding and Tenders — Technical Assistance Search,European Union tenders,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,EU Funding and Tenders,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home
135,EU Funding and Tenders — Business Process Reengineering Search,European Union tenders,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,EU Funding and Tenders,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home
136,Devex Consulting — Ict Consulting Search,Development consulting jobs,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,Devex Consulting,https://www.devex.com/jobs/search
137,Devex Consulting — Digital Transformation Search,Development consulting jobs,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,Devex Consulting,https://www.devex.com/jobs/search
138,Devex Consulting — Software Development Search,Development consulting jobs,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,Devex Consulting,https://www.devex.com/jobs/search
139,Devex Consulting — Enterprise Architecture Search,Development consulting jobs,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,Devex Consulting,https://www.devex.com/jobs/search
140,Devex Consulting — Data Governance Search,Development consulting jobs,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,Devex Consulting,https://www.devex.com/jobs/search
141,Devex Consulting — Digital Health Search,Development consulting jobs,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,Devex Consulting,https://www.devex.com/jobs/search
142,Devex Consulting — Health Information Systems Search,Development consulting jobs,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,Devex Consulting,https://www.devex.com/jobs/search
143,Devex Consulting — Cloud Migration Search,Development consulting jobs,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,Devex Consulting,https://www.devex.com/jobs/search
144,Devex Consulting — Cybersecurity Consulting Search,Development consulting jobs,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,Devex Consulting,https://www.devex.com/jobs/search
145,Devex Consulting — Ai Strategy Search,Development consulting jobs,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,Devex Consulting,https://www.devex.com/jobs/search
146,Devex Consulting — Erp Implementation Search,Development consulting jobs,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,Devex Consulting,https://www.devex.com/jobs/search
147,Devex Consulting — Systems Integration Search,Development consulting jobs,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,Devex Consulting,https://www.devex.com/jobs/search
148,Devex Consulting — Project Management Search,Development consulting jobs,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,Devex Consulting,https://www.devex.com/jobs/search
149,Devex Consulting — Technical Assistance Search,Development consulting jobs,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,Devex Consulting,https://www.devex.com/jobs/search
150,Devex Consulting — Business Process Reengineering Search,Development consulting jobs,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,Devex Consulting,https://www.devex.com/jobs/search
151,ReliefWeb Jobs — Ict Consulting Search,Humanitarian consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,ReliefWeb Jobs,https://reliefweb.int/jobs
152,ReliefWeb Jobs — Digital Transformation Search,Humanitarian consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,ReliefWeb Jobs,https://reliefweb.int/jobs
153,ReliefWeb Jobs — Software Development Search,Humanitarian consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,ReliefWeb Jobs,https://reliefweb.int/jobs
154,ReliefWeb Jobs — Enterprise Architecture Search,Humanitarian consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,ReliefWeb Jobs,https://reliefweb.int/jobs
155,ReliefWeb Jobs — Data Governance Search,Humanitarian consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,ReliefWeb Jobs,https://reliefweb.int/jobs
156,ReliefWeb Jobs — Digital Health Search,Humanitarian consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,ReliefWeb Jobs,https://reliefweb.int/jobs
157,ReliefWeb Jobs — Health Information Systems Search,Humanitarian consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,ReliefWeb Jobs,https://reliefweb.int/jobs
158,ReliefWeb Jobs — Cloud Migration Search,Humanitarian consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,ReliefWeb Jobs,https://reliefweb.int/jobs
159,ReliefWeb Jobs — Cybersecurity Consulting Search,Humanitarian consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,ReliefWeb Jobs,https://reliefweb.int/jobs
160,ReliefWeb Jobs — Ai Strategy Search,Humanitarian consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,ReliefWeb Jobs,https://reliefweb.int/jobs
161,ReliefWeb Jobs — Erp Implementation Search,Humanitarian consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,ReliefWeb Jobs,https://reliefweb.int/jobs
162,ReliefWeb Jobs — Systems Integration Search,Humanitarian consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,ReliefWeb Jobs,https://reliefweb.int/jobs
163,ReliefWeb Jobs — Project Management Search,Humanitarian consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,ReliefWeb Jobs,https://reliefweb.int/jobs
164,ReliefWeb Jobs — Technical Assistance Search,Humanitarian consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,ReliefWeb Jobs,https://reliefweb.int/jobs
165,ReliefWeb Jobs — Business Process Reengineering Search,Humanitarian consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,ReliefWeb Jobs,https://reliefweb.int/jobs
166,Impactpool — Ict Consulting Search,International development roles,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,Impactpool,https://www.impactpool.org/jobs
167,Impactpool — Digital Transformation Search,International development roles,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,Impactpool,https://www.impactpool.org/jobs
168,Impactpool — Software Development Search,International development roles,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,Impactpool,https://www.impactpool.org/jobs
169,Impactpool — Enterprise Architecture Search,International development roles,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,Impactpool,https://www.impactpool.org/jobs
170,Impactpool — Data Governance Search,International development roles,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,Impactpool,https://www.impactpool.org/jobs
171,Impactpool — Digital Health Search,International development roles,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,Impactpool,https://www.impactpool.org/jobs
172,Impactpool — Health Information Systems Search,International development roles,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,Impactpool,https://www.impactpool.org/jobs
173,Impactpool — Cloud Migration Search,International development roles,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,Impactpool,https://www.impactpool.org/jobs
174,Impactpool — Cybersecurity Consulting Search,International development roles,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,Impactpool,https://www.impactpool.org/jobs
175,Impactpool — Ai Strategy Search,International development roles,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,Impactpool,https://www.impactpool.org/jobs
176,Impactpool — Erp Implementation Search,International development roles,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,Impactpool,https://www.impactpool.org/jobs
177,Impactpool — Systems Integration Search,International development roles,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,Impactpool,https://www.impactpool.org/jobs
178,Impactpool — Project Management Search,International development roles,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,Impactpool,https://www.impactpool.org/jobs
179,Impactpool — Technical Assistance Search,International development roles,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,Impactpool,https://www.impactpool.org/jobs
180,Impactpool — Business Process Reengineering Search,International development roles,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,Impactpool,https://www.impactpool.org/jobs
181,UNOPS Opportunities — Ict Consulting Search,UNOPS jobs and consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNOPS Opportunities,https://jobs.unops.org/Pages/Vacancies/VADefault.aspx
182,UNOPS Opportunities — Digital Transformation Search,UNOPS jobs and consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNOPS Opportunities,https://jobs.unops.org/Pages/Vacancies/VADefault.aspx
183,UNOPS Opportunities — Software Development Search,UNOPS jobs and consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNOPS Opportunities,https://jobs.unops.org/Pages/Vacancies/VADefault.aspx
184,UNOPS Opportunities — Enterprise Architecture Search,UNOPS jobs and consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNOPS Opportunities,https://jobs.unops.org/Pages/Vacancies/VADefault.aspx
185,UNOPS Opportunities — Data Governance Search,UNOPS jobs and consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNOPS Opportunities,https://jobs.unops.org/Pages/Vacancies/VADefault.aspx
186,UNOPS Opportunities — Digital Health Search,UNOPS jobs and consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNOPS Opportunities,https://jobs.unops.org/Pages/Vacancies/VADefault.aspx
187,UNOPS Opportunities — Health Information Systems Search,UNOPS jobs and consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNOPS Opportunities,https://jobs.unops.org/Pages/Vacancies/VADefault.aspx
188,UNOPS Opportunities — Cloud Migration Search,UNOPS jobs and consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNOPS Opportunities,https://jobs.unops.org/Pages/Vacancies/VADefault.aspx
189,UNOPS Opportunities — Cybersecurity Consulting Search,UNOPS jobs and consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNOPS Opportunities,https://jobs.unops.org/Pages/Vacancies/VADefault.aspx
190,UNOPS Opportunities — Ai Strategy Search,UNOPS jobs and consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNOPS Opportunities,https://jobs.unops.org/Pages/Vacancies/VADefault.aspx
191,UNOPS Opportunities — Erp Implementation Search,UNOPS jobs and consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNOPS Opportunities,https://jobs.unops.org/Pages/Vacancies/VADefault.aspx
192,UNOPS Opportunities — Systems Integration Search,UNOPS jobs and consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNOPS Opportunities,https://jobs.unops.org/Pages/Vacancies/VADefault.aspx
193,UNOPS Opportunities — Project Management Search,UNOPS jobs and consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNOPS Opportunities,https://jobs.unops.org/Pages/Vacancies/VADefault.aspx
194,UNOPS Opportunities — Technical Assistance Search,UNOPS jobs and consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNOPS Opportunities,https://jobs.unops.org/Pages/Vacancies/VADefault.aspx
195,UNOPS Opportunities — Business Process Reengineering Search,UNOPS jobs and consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNOPS Opportunities,https://jobs.unops.org/Pages/Vacancies/VADefault.aspx
196,UNICEF Supply — Ict Consulting Search,UNICEF tenders,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNICEF Supply,https://www.unicef.org/supply/tenders
197,UNICEF Supply — Digital Transformation Search,UNICEF tenders,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNICEF Supply,https://www.unicef.org/supply/tenders
198,UNICEF Supply — Software Development Search,UNICEF tenders,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNICEF Supply,https://www.unicef.org/supply/tenders
199,UNICEF Supply — Enterprise Architecture Search,UNICEF tenders,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNICEF Supply,https://www.unicef.org/supply/tenders
200,UNICEF Supply — Data Governance Search,UNICEF tenders,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNICEF Supply,https://www.unicef.org/supply/tenders
201,UNICEF Supply — Digital Health Search,UNICEF tenders,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNICEF Supply,https://www.unicef.org/supply/tenders
202,UNICEF Supply — Health Information Systems Search,UNICEF tenders,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNICEF Supply,https://www.unicef.org/supply/tenders
203,UNICEF Supply — Cloud Migration Search,UNICEF tenders,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNICEF Supply,https://www.unicef.org/supply/tenders
204,UNICEF Supply — Cybersecurity Consulting Search,UNICEF tenders,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNICEF Supply,https://www.unicef.org/supply/tenders
205,UNICEF Supply — Ai Strategy Search,UNICEF tenders,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNICEF Supply,https://www.unicef.org/supply/tenders
206,UNICEF Supply — Erp Implementation Search,UNICEF tenders,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNICEF Supply,https://www.unicef.org/supply/tenders
