"id","title","subtitle","type","region","country","location","fit","status","posted","checked","notes","source","url"
"1","African Union","Continental intergovernmental organization","Pan-African Institution","Africa-wide","Ethiopia","Ethiopia","High","Needs Verification","","2026-07-20","Continental policy, digital transformation, health, infrastructure and programme roles. Directory entry; verify current openings on the official source.","Official careers page","https://jobs.au.int/"
"108","Expertise France","French international technical cooperation agency","Development Agency","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Governance, digital transformation, health, climate and programme delivery. Directory entry; verify current openings on the official source.","Official careers page","https://www.expertisefrance.fr/en/careers"
"109","LuxDev","Luxembourg development cooperation agency","Development Agency","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Development programmes, digital systems, health and institutional support. Directory entry; verify current openings on the official source.","Official careers page","https://luxdev.lu/en/jobs"
"110","British Council","Cultural relations and education organization","Development & Education Organization","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Education, digital learning, programme technology and country operations. Directory entry; verify current openings on the official source.","Official careers page","https://careers.britishcouncil.org/"
"111","International Development Research Centre","IDRC","Development Research Funder","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Research, digital innovation, AI, data and development policy. Directory entry; verify current openings on the official source.","Official careers page","https://idrc-crdi.ca/en/careers"
"112","CGIAR","Global agricultural research partnership","Research & Development Network","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Agricultural research, data platforms, digital agriculture and technology. Directory entry; verify current openings on the official source.","Official careers page","https://www.cgiar.org/careers/"
"113","International Livestock Research Institute","ILRI","CGIAR Research Centre","East Africa","Kenya / Ethiopia","Kenya / Ethiopia","High","Needs Verification","","2026-07-20","Research data, digital agriculture, enterprise systems and science operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.ilri.org/jobs"
"114","International Food Policy Research Institute","IFPRI","Research Institute","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Policy research, data, analytics, digital tools and programme operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.ifpri.org/careers"
"115","International Center for Research in Agroforestry","CIFOR-ICRAF","Research Institute","Africa-wide","Kenya","Kenya","High","Needs Verification","","2026-07-20","Climate, forestry, research data, digital platforms and programme delivery. Directory entry; verify current openings on the official source.","Official careers page","https://www.cifor-icraf.org/about/work-with-us/"
"116","African Population and Health Research Center","APHRC","African Research Organization","Africa-wide","Kenya","Kenya","High","Needs Verification","","2026-07-20","Health research, population data, digital systems and policy. Directory entry; verify current openings on the official source.","Official careers page","https://aphrc.org/careers/"
"117","African Institute for Development Policy","AFIDEP","African Policy Institute","Africa-wide","Kenya / Malawi","Kenya / Malawi","High","Needs Verification","","2026-07-20","Evidence, data, policy, health and development programmes. Directory entry; verify current openings on the official source.","Official careers page","https://www.afidep.org/careers/"
"118","African Centre for the Constructive Resolution of Disputes","ACCORD","African Peacebuilding Organization","Africa-wide","South Africa","South Africa","High","Needs Verification","","2026-07-20","Peacebuilding, programme management, data and institutional operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.accord.org.za/opportunities/"
"119","TrustAfrica","African philanthropy foundation","African Foundation","Africa-wide","Senegal","Senegal","High","Needs Verification","","2026-07-20","Governance, philanthropy, civil society, data and programme delivery. Directory entry; verify current openings on the official source.","Official organization website","https://trustafrica.org/"
"120","African Women’s Development Fund","AWDF","African Foundation","Africa-wide","Ghana","Ghana","High","Needs Verification","","2026-07-20","Women’s rights, grantmaking, digital operations and programme management. Directory entry; verify current openings on the official source.","Official careers page","https://awdf.org/careers/"
"121","Mo Ibrahim Foundation","African governance foundation","African Foundation","Africa-wide","United Kingdom / Africa","United Kingdom / Africa","High","Needs Verification","","2026-07-20","Governance, data, research, communications and programme roles. Directory entry; verify current openings on the official source.","Official careers page","https://mo.ibrahim.foundation/careers"
"122","Tony Elumelu Foundation","African entrepreneurship foundation","African Foundation","Africa-wide","Nigeria","Nigeria","High","Needs Verification","","2026-07-20","Entrepreneurship platforms, digital programmes, data and operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.tonyelumelufoundation.org/careers"
"123","Mastercard Foundation","Global foundation focused on Africa","Foundation","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Education, youth employment, digital economy, data and programme strategy. Directory entry; verify current openings on the official source.","Official careers page","https://mastercardfdn.org/careers/"
"124","AGRA","Alliance for a Green Revolution in Africa","African Development Organization","Africa-wide","Kenya","Kenya","High","Needs Verification","","2026-07-20","Agriculture, digital platforms, market systems, data and programme delivery. Directory entry; verify current openings on the official source.","Official careers page","https://agra.org/careers/"
"125","One Acre Fund","African smallholder agriculture organization","African Development Organization","East & Southern Africa","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Digital operations, agriculture, data, supply chain and country leadership. Directory entry; verify current openings on the official source.","Official careers page","https://oneacrefund.org/work-with-us"
"126","GiveDirectly","Cash transfer nonprofit","Development NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Digital payments, data, technology, operations and programme management. Directory entry; verify current openings on the official source.","Official careers page","https://www.givedirectly.org/careers/"
"127","TechnoServe","Business solutions to poverty organization","Development NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Market systems, agriculture, digital tools, data and programme operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.technoserve.org/careers/"
"128","BRAC International","Global South development organization","Development NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Poverty reduction, microfinance, digital programmes and country operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.bracinternational.org/careers/"
"129","CAMFED","Campaign for Female Education","African Education NGO","Sub-Saharan Africa","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Education, digital platforms, data systems and programme management. Directory entry; verify current openings on the official source.","Official careers page","https://camfed.org/about-us/jobs/"
"130","Forum for African Women Educationalists","FAWE","African Education Network","Africa-wide","Kenya","Kenya","High","Needs Verification","","2026-07-20","Education, gender equality, digital learning and regional programmes. Directory entry; verify current openings on the official source.","Official organization website","https://fawe.org/"
"131","African Leadership Academy","ALA","African Education Organization","Africa-wide","South Africa","South Africa","High","Needs Verification","","2026-07-20","Education technology, leadership development, data and operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.africanleadershipacademy.org/careers/"
"132","African Leadership University","ALU","African Higher Education Organization","Africa-wide","Rwanda / Mauritius","Rwanda / Mauritius","High","Needs Verification","","2026-07-20","Digital education, technology, operations and leadership development. Directory entry; verify current openings on the official source.","Official careers page","https://www.alueducation.com/careers/"
"133","Tostan","West African development organization","African Development NGO","West Africa","Senegal","Senegal","High","Needs Verification","","2026-07-20","Community development, digital learning, monitoring data and programmes. Directory entry; verify current openings on the official source.","Official careers page","https://www.tostan.org/careers/"
"134","Africa Check","Independent fact-checking organization","African Media & Civil Society","Africa-wide","South Africa","South Africa","High","Needs Verification","","2026-07-20","Data, media technology, research, product and digital operations. Directory entry; verify current openings on the official source.","Official careers page","https://africacheck.org/careers"
"135","Code for Africa","Civic technology network","African Civic Technology Organization","Africa-wide","Kenya","Kenya","High","Needs Verification","","2026-07-20","Civic technology, data, digital products, AI and programme management. Directory entry; verify current openings on the official source.","Official careers page","https://codeforafrica.org/jobs/"
"136","Paradigm Initiative","Digital rights organization","African Civic Technology Organization","Africa-wide","Nigeria","Nigeria","High","Needs Verification","","2026-07-20","Digital inclusion, policy, technology, data and regional programmes. Directory entry; verify current openings on the official source.","Official careers page","https://paradigmhq.org/careers/"
"137","African Centre for Economic Transformation","ACET","African Policy Institute","Africa-wide","Ghana","Ghana","High","Needs Verification","","2026-07-20","Economic policy, digital transformation, data and programme delivery. Directory entry; verify current openings on the official source.","Official careers page","https://acetforafrica.org/careers/"
"138","African Wildlife Foundation","AWF","Conservation NGO","Africa-wide","Kenya","Kenya","High","Needs Verification","","2026-07-20","Conservation technology, GIS, data, digital systems and operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.awf.org/about/careers"
"139","African Parks","Conservation organization","Conservation NGO","Africa-wide","South Africa","South Africa","High","Needs Verification","","2026-07-20","Conservation operations, GIS, technology, data and park management. Directory entry; verify current openings on the official source.","Official careers page","https://www.africanparks.org/about-us/careers"
"140","Wildlife Conservation Society Africa","WCS","Conservation NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Conservation science, GIS, technology, data and country operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.wcs.org/about-us/careers"
"141","BirdLife International Africa","Conservation partnership","Conservation NGO","Africa-wide","Kenya","Kenya","High","Needs Verification","","2026-07-20","Conservation data, GIS, digital systems and regional programmes. Directory entry; verify current openings on the official source.","Official careers page","https://www.birdlife.org/careers/"
"142","International Union for Conservation of Nature","IUCN Africa","Conservation Network","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Conservation, climate, data, programme systems and regional operations. Directory entry; verify current openings on the official source.","Official organization website","https://www.iucn.org/about-iucn/work-us"
"143","Akili Dada","African girls’ leadership organization","African Civil Society NGO","East Africa","Kenya","Kenya","High","Needs Verification","","2026-07-20","Leadership, education, digital engagement and programme management. Directory entry; verify current openings on the official source.","Official organization website","https://akilidada.org/"
"144","LEAP Africa","Youth leadership development organization","African Development NGO","West Africa","Nigeria","Nigeria","High","Needs Verification","","2026-07-20","Youth leadership, digital learning, data and programme operations. Directory entry; verify current openings on the official source.","Official careers page","https://leapafrica.org/careers/"
"145","BudgIT","Civic technology organization","African Civic Technology Organization","West Africa","Nigeria","Nigeria","High","Needs Verification","","2026-07-20","Public finance data, civic technology, digital products and governance. Directory entry; verify current openings on the official source.","Official careers page","https://budgit.org/careers/"
"146","Co-Creation Hub","CcHUB","African Technology & Innovation Organization","Africa-wide","Nigeria / Kenya / Rwanda","Nigeria / Kenya / Rwanda","High","Needs Verification","","2026-07-20","Technology innovation, digital products, research and ecosystem programmes. Directory entry; verify current openings on the official source.","Official careers page","https://cchub.africa/careers/"
"147","iHub","African innovation hub","African Technology & Innovation Organization","East Africa","Kenya","Kenya","High","Needs Verification","","2026-07-20","Technology ecosystem, innovation, research, digital products and programmes. Directory entry; verify current openings on the official source.","Official organization website","https://ihub.co.ke/"
"148","Africa’s Talking","Pan-African technology company","African Technology Organization","Africa-wide","Kenya","Kenya","High","Needs Verification","","2026-07-20","Communications platforms, developer technology, cloud services and operations. Directory entry; verify current openings on the official source.","Official careers page","https://africastalking.com/careers"
