employer_rank,title,country,region,industry,availability_status,priority_tier,match_score,source,source_quality,last_checked,url,selection_basis,notes
68,Dell Technologies Egypt,Egypt,Egypt,"Technology, Telecom & Digital",Career Page Available,Priority 1,99,Official employer careers,A,2026-07-28,https://jobs.dell.com/,"Strategic private, public or multinational employer","Employer target rank #68. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
69,Huawei Egypt,Egypt,Egypt,"Technology, Telecom & Digital",Career Page Available,Priority 1,99,,B,2026-07-28,https://career.huawei.com/,"Strategic private, public or multinational employer","Employer target rank #69. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
70,Valeo Egypt,Egypt,Egypt,"Technology, Telecom & Digital",Career Page Available,Priority 1,99,,A,2026-07-28,https://valeo.wd3.myworkdayjobs.com/en-US/valeo_jobs,"Strategic private, public or multinational employer","Employer target rank #70. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
71,Siemens Egypt,Egypt,Egypt,Diversified & Other,Career Page Available,Monitor,83,,B,2026-07-28,https://jobs.siemens.com/,"Strategic private, public or multinational employer","Employer target rank #71. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
72,Schneider Electric Egypt,Egypt,Egypt,Industrial & Manufacturing,Career Page Available,Priority 1,90,Official employer careers,A,2026-07-28,https://www.se.com/careers,"Strategic private, public or multinational employer","Employer target rank #72. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
73,ABB Egypt,Egypt,Egypt,Diversified & Other,Career Page Available,Monitor,83,Official employer careers,A,2026-07-28,https://careers.abb/global/en,"Strategic private, public or multinational employer","Employer target rank #73. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
74,Honeywell Egypt,Egypt,Egypt,Diversified & Other,Career Page Available,Monitor,83,Official employer careers,A,2026-07-28,https://careers.ey.com/,"Strategic private, public or multinational employer","Employer target rank #74. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
75,Bosch Egypt,Egypt,Egypt,Diversified & Other,Career Page Available,Monitor,80,Official employer careers,A,2026-07-28,https://www.bosch.com/careers/,"Strategic private, public or multinational employer","Employer target rank #75. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
76,Accenture Egypt,Egypt,Egypt,"Technology, Telecom & Digital",Career Page Available,Priority 1,99,Official employer careers,B,2026-07-28,https://www.accenture.com/us-en/careers,"Strategic private, public or multinational employer","Employer target rank #76. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
77,PwC Egypt,Egypt,Egypt,Consulting & Professional Services,Career Page Available,Priority 1,98,Official employer careers,A,2026-07-28,https://www.pwc.com/gx/en/careers.html,"Strategic private, public or multinational employer","Employer target rank #77. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
78,Deloitte Egypt,Egypt,Egypt,Consulting & Professional Services,Career Page Available,Priority 1,98,Official employer careers,A,2026-07-28,https://www.deloitte.com/global/en/careers.html,"Strategic private, public or multinational employer","Employer target rank #78. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
79,EY Egypt,Egypt,Egypt,Consulting & Professional Services,Career Page Available,Priority 1,98,Official employer careers,A,2026-07-28,https://careers.ey.com/,"Strategic private, public or multinational employer","Employer target rank #79. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
80,KPMG Egypt,Egypt,Egypt,Consulting & Professional Services,Career Page Available,Priority 1,98,Official employer careers,A,2026-07-28,https://kpmg.com/xx/en/home/careers.html,"Strategic private, public or multinational employer","Employer target rank #80. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
81,Capgemini Egypt,Egypt,Egypt,"Technology, Telecom & Digital",Career Page Available,Priority 1,96,Official employer careers,B,2026-07-28,https://www.capgemini.com/careers/,"Strategic private, public or multinational employer","Employer target rank #81. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
82,Unilever Egypt,Egypt,Egypt,"Consumer, Retail & FMCG",Career Page Available,Monitor,81,Official employer careers,A,2026-07-28,https://careers.unilever.com/,"Strategic private, public or multinational employer","Employer target rank #82. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
83,Nestlé Egypt,Egypt,Egypt,"Consumer, Retail & FMCG",Career Page Available,Monitor,81,,B,2026-07-28,https://www.nestle.com/jobs,"Strategic private, public or multinational employer","Employer target rank #83. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
84,Procter & Gamble Egypt,Egypt,Egypt,"Consumer, Retail & FMCG",Career Page Available,Monitor,81,Official employer careers,A,2026-07-28,https://www.pgcareers.com/,"Strategic private, public or multinational employer","Employer target rank #84. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
85,PepsiCo Egypt,Egypt,Egypt,"Consumer, Retail & FMCG",Career Page Available,Monitor,81,,B,2026-07-28,https://www.pepsicojobs.com/,"Strategic private, public or multinational employer","Employer target rank #85. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
86,Coca-Cola HBC Egypt,Egypt,Egypt,"Consumer, Retail & FMCG",Career Page Available,Monitor,81,Official employer careers,A,2026-07-28,https://careers.coca-colahellenic.com/,"Strategic private, public or multinational employer","Employer target rank #86. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
87,Mars Egypt,Egypt,Egypt,"Consumer, Retail & FMCG",Career Page Available,Monitor,81,,B,2026-07-28,https://careers.mars.com/,"Strategic private, public or multinational employer","Employer target rank #87. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
88,Mondelez Egypt,Egypt,Egypt,"Consumer, Retail & FMCG",Career Page Available,Monitor,81,Official employer careers,A,2026-07-28,https://careers.mondelezinternational.com/,"Strategic private, public or multinational employer","Employer target rank #88. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
89,Danone Egypt,Egypt,Egypt,"Consumer, Retail & FMCG",Career Page Available,Monitor,81,Official employer careers,A,2026-07-28,https://careers.danone.com/,"Strategic private, public or multinational employer","Employer target rank #89. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
90,Henkel Egypt,Egypt,Egypt,"Consumer, Retail & FMCG",Career Page Available,Monitor,81,,B,2026-07-28,https://www.henkel.com/careers,"Strategic private, public or multinational employer","Employer target rank #90. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
91,L’Oréal Egypt,Egypt,Egypt,"Consumer, Retail & FMCG",Career Page Available,Monitor,81,Official employer careers,A,2026-07-28,https://careers.loreal.com/,"Strategic private, public or multinational employer","Employer target rank #91. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
92,AstraZeneca Egypt,Egypt,Egypt,Healthcare & Pharmaceuticals,Career Page Available,Priority 1,94,Official employer careers,A,2026-07-28,https://careers.astrazeneca.com/,"Strategic private, public or multinational employer","Employer target rank #92. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
93,Pfizer Egypt,Egypt,Egypt,Healthcare & Pharmaceuticals,Career Page Available,Priority 1,94,Official employer careers,A,2026-07-28,https://www.pfizer.com/about/careers,"Strategic private, public or multinational employer","Employer target rank #93. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
94,Novartis Egypt,Egypt,Egypt,Healthcare & Pharmaceuticals,Career Page Available,Priority 1,94,Official employer careers,A,2026-07-28,https://www.novartis.com/careers,"Strategic private, public or multinational employer","Employer target rank #94. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
95,Sanofi Egypt,Egypt,Egypt,Healthcare & Pharmaceuticals,Career Page Available,Priority 1,94,Official employer careers,A,2026-07-28,https://jobs.sanofi.com/,"Strategic private, public or multinational employer","Employer target rank #95. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
96,Roche Egypt,Egypt,Egypt,Healthcare & Pharmaceuticals,Career Page Available,Priority 1,94,Official employer careers,A,2026-07-28,https://careers.roche.com/,"Strategic private, public or multinational employer","Employer target rank #96. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
97,GSK Egypt,Egypt,Egypt,Healthcare & Pharmaceuticals,Career Page Available,Priority 1,94,Official employer careers,A,2026-07-28,https://jobs.gsk.com/,"Strategic private, public or multinational employer","Employer target rank #97. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
98,EVA Pharma,Egypt,Egypt,Healthcare & Pharmaceuticals,Career Page Available,Priority 1,94,Official employer careers,A,2026-07-28,https://www.evapharma.com/careers,"Strategic private, public or multinational employer","Employer target rank #98. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
100,EgyptAir,Egypt,Egypt,"Logistics, Transport & Aviation",Career Page Available,Priority 1,91,Official employer careers,A,2026-07-28,https://hrholding.egyptair.com/,"Strategic private, public or multinational employer","Employer target rank #100. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
