employer_rank,title,country,region,industry,availability_status,priority_tier,match_score,source,source_quality,last_checked,url,selection_basis,notes
67,OQ Exploration and Production,Oman,GCC,Energy & Utilities,Career Page Available,Priority 2,88,,B,2026-07-28,https://careers.oq.com/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #67. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
68,solutions by stc,Saudi Arabia,GCC,"Technology, Telecom & Digital",Career Page Available,Priority 1,99,,B,2026-07-28,https://solutions.com.sa/careers/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #68. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
69,Lulu Retail,United Arab Emirates,GCC,"Consumer, Retail & FMCG",Career Page Available,Monitor,81,,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Lulu+Group+International&sortBy=DD,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #69. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
70,Qatar International Islamic Bank,Qatar,GCC,Banking & Financial Services,Live Search,Priority 1,90,LinkedIn company jobs search,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Qatar%20International%20Islamic%20Bank&sortBy=DD,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #70. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
71,Agility Global,United Arab Emirates,GCC,"Logistics, Transport & Aviation",Career Page Available,Priority 1,91,Official employer careers,A,2026-07-28,https://www.agility.com/en/careers/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #71. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
72,Commercial Bank of Kuwait,Kuwait,GCC,Banking & Financial Services,Career Page Available,Priority 1,90,,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Commercial+Bank+of+Dubai&sortBy=DD,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #72. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
73,Qatar Fuel WOQOD,Qatar,GCC,Energy & Utilities,Career Page Available,Priority 2,88,,B,2026-07-28,https://careers.oq.com/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #73. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
74,Gulf Bank,Kuwait,GCC,Banking & Financial Services,Live Search,Priority 1,90,LinkedIn company jobs search,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Gulf%20Bank&sortBy=DD,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #74. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
75,NMDC Energy,United Arab Emirates,GCC,Industrial & Manufacturing,Live Search,Priority 2,87,LinkedIn company jobs search,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=NMDC%20Energy&sortBy=DD,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #75. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
76,Elm,Saudi Arabia,GCC,"Technology, Telecom & Digital",Career Page Available,Priority 1,99,,B,2026-07-28,https://careers.elm.sa/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #76. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
77,KIPCO,Kuwait,GCC,Diversified & Other,Live Search,Monitor,80,LinkedIn company jobs search,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=KIPCO&sortBy=DD,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #77. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
78,Burgan Bank,Kuwait,GCC,Banking & Financial Services,Career Page Available,Priority 1,90,,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Burgan+Bank&sortBy=DD,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #78. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
79,Dar Al Arkan,Saudi Arabia,GCC,Real Estate & Construction,Career Page Available,Priority 2,85,,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Dar+Al+Arkan&sortBy=DD,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #79. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
80,Doha Bank,Qatar,GCC,Banking & Financial Services,Career Page Available,Priority 1,90,,B,2026-07-28,https://www.dohabank.com.qa/careers/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #80. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
81,Bank ABC,Bahrain,GCC,Banking & Financial Services,Career Page Available,Priority 1,90,,B,2026-07-28,https://www.bank-abc.com/en/Careers,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #81. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
82,Air Arabia,United Arab Emirates,GCC,"Logistics, Transport & Aviation",Career Page Available,Priority 1,91,Official employer careers,A,2026-07-28,https://careers.airarabia.com/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #82. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
83,Kingdom Holding Company,Saudi Arabia,GCC,Diversified Holdings,Live Search,Priority 2,89,LinkedIn company jobs search,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Kingdom%20Holding%20Company&sortBy=DD,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #83. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
84,Al Ahli Bank of Kuwait,Kuwait,GCC,Banking & Financial Services,Live Search,Priority 1,90,LinkedIn company jobs search,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Al%20Ahli%20Bank%20of%20Kuwait&sortBy=DD,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #84. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
85,Sharjah Islamic Bank,United Arab Emirates,GCC,Banking & Financial Services,Career Page Available,Priority 1,90,,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Qatar+Islamic+Bank&sortBy=DD,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #85. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
86,National Bank of Fujairah,United Arab Emirates,GCC,Banking & Financial Services,Career Page Available,Priority 1,90,,B,2026-07-28,https://careers.nbk.com/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #86. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
87,ADES Holding,Saudi Arabia,GCC,Industrial & Manufacturing,Career Page Available,Priority 2,87,Official employer careers,A,2026-07-28,https://careers.adesgroup.com/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #87. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
88,Fertiglobe,United Arab Emirates,GCC,Energy & Utilities,Live Search,Priority 2,88,LinkedIn company jobs search,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Fertiglobe&sortBy=DD,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #88. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
89,Sohar International,Oman,GCC,Diversified & Other,Career Page Available,Monitor,80,,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Sohar+International&sortBy=DD,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #89. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
90,Zain KSA,Saudi Arabia,GCC,"Technology, Telecom & Digital",Career Page Available,Priority 1,96,,B,2026-07-28,https://careers.sa.zain.com/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #90. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
92,ADNOC,United Arab Emirates,GCC,Energy & Utilities,Career Page Available,Priority 1,91,Official employer careers,A,2026-07-28,https://jobs.adnoc.ae/,Strategic major GCC employer,"Employer target rank #92. Strategic major GCC employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
93,Mubadala,United Arab Emirates,GCC,Diversified Holdings,Career Page Available,Priority 1,92,Official employer careers,A,2026-07-28,https://www.mubadala.com/en/careers,Strategic major GCC employer,"Employer target rank #93. Strategic major GCC employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
94,Emirates Group,United Arab Emirates,GCC,"Logistics, Transport & Aviation",Career Page Available,Priority 1,94,Official employer careers,A,2026-07-28,https://www.emiratesgroupcareers.com/,Strategic major GCC employer,"Employer target rank #94. Strategic major GCC employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
95,QatarEnergy,Qatar,GCC,Energy & Utilities,Career Page Available,Priority 1,91,Official employer careers,A,2026-07-28,https://careers.qatarenergy.qa/,Strategic major GCC employer,"Employer target rank #95. Strategic major GCC employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
96,Public Investment Fund,Saudi Arabia,GCC,Diversified Holdings,Career Page Available,Priority 1,92,Official employer careers,A,2026-07-28,https://careers.pif.gov.sa/,Strategic major GCC employer,"Employer target rank #96. Strategic major GCC employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
97,NEOM,Saudi Arabia,GCC,Real Estate & Construction,Career Page Available,Priority 2,88,Official employer careers,A,2026-07-28,https://careers.neom.com/,Strategic major GCC employer,"Employer target rank #97. Strategic major GCC employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
98,DP World,United Arab Emirates,GCC,"Logistics, Transport & Aviation",Career Page Available,Priority 1,94,Official employer careers,A,2026-07-28,https://careers.dpworld.com/,Strategic major GCC employer,"Employer target rank #98. Strategic major GCC employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
99,Majid Al Futtaim,United Arab Emirates,GCC,"Consumer, Retail & FMCG",Career Page Available,Monitor,81,Official employer careers,A,2026-07-28,https://careers.majidalfuttaim.com/,Strategic major GCC employer,"Employer target rank #99. Strategic major GCC employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
100,Al-Futtaim Group,United Arab Emirates,GCC,"Consumer, Retail & FMCG",Career Page Available,Monitor,81,Official employer careers,A,2026-07-28,https://www.afuturewithus.com/,Strategic major GCC employer,"Employer target rank #100. Strategic major GCC employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
