id,title,subtitle,type,region,country,location,fit,status,posted,checked,notes,source,url,africaCategory,africaRegion,headquarters,fundingModel,operatingStatus,careersLinkQuality,organizationClass,activeInCountry,regionalOffice
65,Islamic Relief Worldwide,IRW,Humanitarian & Development NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Humanitarian assistance, development, systems, data and operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.islamic-relief.org/category/jobs/,Humanitarian,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Humanitarian,Not verified — confirm on the official country page,Africa-wide / not specified
66,Tearfund,International development charity,Humanitarian & Development NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Development, humanitarian response, digital programmes and operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.tearfund.org/about-us/jobs,Humanitarian,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Humanitarian,Not verified — confirm on the official country page,Africa-wide / not specified
67,Welthungerhilfe,German development NGO,Humanitarian & Development NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Food security, development, digital data and programme management. Directory entry; verify current openings on the official source.",Official careers page,https://www.welthungerhilfe.org/jobs,Humanitarian,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Humanitarian,Not verified — confirm on the official country page,Africa-wide / not specified
68,Johanniter International Assistance,Humanitarian organization,Humanitarian NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Health, humanitarian response, logistics, technology and operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.johanniter.de/johanniter-unfall-hilfe/international-assistance/jobs/,Health & Digital Health,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Africa-wide / not specified
69,Malteser International,Humanitarian relief agency,Humanitarian NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Health, humanitarian operations, data, logistics and field systems. Directory entry; verify current openings on the official source.",Official careers page,https://www.malteser-international.org/en/jobs.html,Health & Digital Health,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Africa-wide / not specified
70,Medair,Humanitarian organization,Humanitarian NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Health, WASH, shelter, logistics, data and humanitarian operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.medair.org/jobs/,Health & Digital Health,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Africa-wide / not specified
71,International Medical Corps,Medical humanitarian NGO,Medical Humanitarian NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Health programmes, information systems, digital health and operations. Directory entry; verify current openings on the official source.",Official careers page,https://careers.internationalmedicalcorps.org/,Health & Digital Health,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Africa-wide / not specified
72,Relief International,Humanitarian and development organization,Humanitarian NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Humanitarian programmes, health, data, digital systems and operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.ri.org/work-with-us/,Health & Digital Health,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Africa-wide / not specified
73,Solidarités International,Humanitarian NGO,Humanitarian NGO,Africa-wide,Multiple African countries,Multiple African countries,Medium,Needs Verification,,2026-07-20,"WASH, humanitarian response, information management and logistics. Directory entry; verify current openings on the official source.",Official careers page,https://www.solidarites.org/en/taking-action/work-with-us/,Humanitarian,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Humanitarian,Not verified — confirm on the official country page,Africa-wide / not specified
74,War Child,Child protection NGO,Humanitarian NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Child protection, education, digital programmes and country operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.warchild.net/jobs/,Humanitarian,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Humanitarian,Not verified — confirm on the official country page,Africa-wide / not specified
75,INTERSOS,Humanitarian organization,Humanitarian NGO,Africa-wide,Multiple African countries,Multiple African countries,Medium,Needs Verification,,2026-07-20,"Emergency response, protection, information management and operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.intersos.org/en/work-with-us/,Humanitarian,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Humanitarian,Not verified — confirm on the official country page,Africa-wide / not specified
76,"International Organization for Relief, Welfare and Development",Muslim Aid,Humanitarian & Development NGO,Africa-wide,Multiple African countries,Multiple African countries,Medium,Needs Verification,,2026-07-20,"Humanitarian response, development programmes and operational roles. Directory entry; verify current openings on the official source.",Official careers page,https://www.muslimaid.org/about-us/careers/,Humanitarian,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Humanitarian,Not verified — confirm on the official country page,Africa-wide / not specified
77,The HALO Trust,Humanitarian mine action NGO,Humanitarian NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Mine action, GIS, data, field operations and programme management. Directory entry; verify current openings on the official source.",Official careers page,https://www.halotrust.org/about-us/careers/,Humanitarian,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Humanitarian,Not verified — confirm on the official country page,Africa-wide / not specified
78,Mines Advisory Group,MAG,Humanitarian NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Mine action, information management, operations and programme technology. Directory entry; verify current openings on the official source.",Official organization website,https://www.maginternational.org/work-for-us/,Humanitarian,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,General website / careers not confirmed,Humanitarian,Not verified — confirm on the official country page,Africa-wide / not specified
79,ShelterBox,Disaster relief organization,Humanitarian NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Emergency response, logistics, technology and programme operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.shelterbox.org/careers/,Humanitarian,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Humanitarian,Not verified — confirm on the official country page,Africa-wide / not specified
80,Norwegian Church Aid,NCA,Humanitarian & Development NGO,Africa-wide,Multiple African countries,Multiple African countries,Medium,Needs Verification,,2026-07-20,"WASH, peacebuilding, humanitarian response and operations. Directory entry; verify current openings on the official source.",Official organization website,https://www.kirkensnodhjelp.no/en/about-nca/vacancies/,Humanitarian,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Humanitarian,Not verified — confirm on the official country page,Africa-wide / not specified
81,Lutheran World Federation,LWF,Humanitarian & Development NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Humanitarian programmes, refugees, data and field operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.lutheranworld.org/careers,Humanitarian,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Humanitarian,Not verified — confirm on the official country page,Africa-wide / not specified
82,Caritas Internationalis,Global humanitarian confederation,Humanitarian & Development NGO,Africa-wide,Multiple African countries,Multiple African countries,Medium,Needs Verification,,2026-07-20,Humanitarian and development programmes through African member organizations. Directory entry; verify current openings on the official source.,Official careers page,https://www.caritas.org/who-we-are/careers/,Humanitarian,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Humanitarian,Not verified — confirm on the official country page,Africa-wide / not specified
83,Amref Health Africa,African health development organization,African Health NGO,Africa-wide,Kenya,Kenya,High,Needs Verification,,2026-07-20,"Digital health, health systems, data, workforce development and technology. Directory entry; verify current openings on the official source.",Official careers page,https://careers.amref.org/,Health & Digital Health,East Africa,Kenya,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Kenya
84,PATH,Global health innovation organization,Global Health NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Digital health, data systems, medical technology and health programmes. Directory entry; verify current openings on the official source.",Official careers page,https://www.path.org/careers/,Health & Digital Health,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Africa-wide / not specified
85,Clinton Health Access Initiative,CHAI,Global Health NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Health systems, digital health, analytics, access and programme operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.clintonhealthaccess.org/careers/,Health & Digital Health,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Africa-wide / not specified
86,Jhpiego,Johns Hopkins affiliate,Global Health NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Health systems, digital health, maternal health, data and programme management. Directory entry; verify current openings on the official source.",Official careers page,https://jobs-jhpiego.icims.com/jobs/,Health & Digital Health,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Africa-wide / not specified
87,FHI 360,International development organization,Development Implementer,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Health, education, data, technology, research and programme delivery. Directory entry; verify current openings on the official source.",Official careers page,https://www.fhi360.org/careers,Health & Digital Health,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Africa-wide / not specified
88,Population Services International,PSI,Global Health NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Digital health, market systems, data, public health and country programmes. Directory entry; verify current openings on the official source.",Official careers page,https://www.psi.org/careers/,Health & Digital Health,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Africa-wide / not specified
89,Elizabeth Glaser Pediatric AIDS Foundation,EGPAF,Global Health NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"HIV, health data, digital systems, programme delivery and research. Directory entry; verify current openings on the official source.",Official careers page,https://pedaids.org/about/careers/,Health & Digital Health,Pan-African,Multiple African countries,Foundation-funded / grant-making,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Africa-wide / not specified
90,IntraHealth International,Global health workforce organization,Global Health NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Health workforce information systems, digital health and data. Directory entry; verify current openings on the official source.",Official careers page,https://www.intrahealth.org/careers,Health & Digital Health,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Africa-wide / not specified
91,VillageReach,Health systems organization,Global Health NGO,Sub-Saharan Africa,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Health supply chains, digital health, data systems and last-mile delivery. Directory entry; verify current openings on the official source.",Official careers page,https://www.villagereach.org/careers/,Health & Digital Health,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Africa-wide / not specified
92,Living Goods,Community health organization,African Health NGO,East Africa,Kenya / Uganda,Kenya / Uganda,High,Needs Verification,,2026-07-20,"Community health, digital tools, data platforms and programme operations. Directory entry; verify current openings on the official source.",Official careers page,https://livinggoods.org/careers/,Health & Digital Health,East Africa,Kenya / Uganda,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Kenya / Uganda
93,Last Mile Health,Community health systems organization,Global Health NGO,Sub-Saharan Africa,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Community health systems, digital learning, data and programme technology. Directory entry; verify current openings on the official source.",Official careers page,https://lastmilehealth.org/careers/,Health & Digital Health,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Africa-wide / not specified
94,Partners In Health,Global health organization,Global Health NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Health systems, digital health, IT, data and country operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.pih.org/pages/employment,Health & Digital Health,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Africa-wide / not specified
95,Management Sciences for Health,MSH,Global Health NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Health systems strengthening, supply chain, data and digital health. Directory entry; verify current openings on the official source.",Official careers page,https://www.msh.org/careers,Health & Digital Health,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Africa-wide / not specified
96,JSI Research & Training Institute,JSI,Development Implementer,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Public health, supply chains, information systems, data and programmes. Directory entry; verify current openings on the official source.",Official careers page,https://www.jsi.com/careers/,Health & Digital Health,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Africa-wide / not specified
97,D-tree International,Digital health organization,Digital Health NGO,Sub-Saharan Africa,Tanzania / Zanzibar,Tanzania / Zanzibar,High,Needs Verification,,2026-07-20,"Digital health platforms, community health systems, product and data roles. Directory entry; verify current openings on the official source.",Official careers page,https://www.d-tree.org/careers,Health & Digital Health,East Africa,Tanzania / Zanzibar,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Tanzania / Zanzibar
98,Results for Development,R4D,Development Think Tank,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Health systems, education, digital innovation, data and policy. Directory entry; verify current openings on the official source.",Official careers page,https://r4d.org/careers/,Health & Digital Health,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Africa-wide / not specified
99,Palladium,Global impact company,Development Implementer,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Digital development, health, governance, data and programme delivery. Directory entry; verify current openings on the official source.",Official careers page,https://thepalladiumgroup.com/careers,Health & Digital Health,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Africa-wide / not specified
100,Abt Global,International development implementer,Development Implementer,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Health, climate, governance, data, digital solutions and programme operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.abtglobal.com/careers,Health & Digital Health,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Africa-wide / not specified
101,DAI Global,International development company,Development Implementer,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Digital government, economic development, data, technology and programmes. Directory entry; verify current openings on the official source.",Official careers page,https://www.dai.com/careers,Technology & Civic Tech,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Technology & Civic Tech,Not verified — confirm on the official country page,Africa-wide / not specified
102,Chemonics International,International development company,Development Implementer,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Health, supply chain, digital transformation, data and programme delivery. Directory entry; verify current openings on the official source.",Official careers page,https://www.chemonics.com/careers/,Health & Digital Health,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Africa-wide / not specified
103,RTI International,Research and development institute,Development Implementer,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Research, health, data science, digital systems and development programmes. Directory entry; verify current openings on the official source.",Official careers page,https://www.rti.org/careers,Health & Digital Health,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Africa-wide / not specified
104,Crown Agents,International development company,Development Implementer,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Public-sector transformation, health supply chains, digital systems and programmes. Directory entry; verify current openings on the official source.",Official careers page,https://www.crownagents.com/careers/,Health & Digital Health,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Africa-wide / not specified
105,SNV Netherlands Development Organisation,SNV,Development NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Agriculture, energy, water, climate, data and programme management. Directory entry; verify current openings on the official source.",Official careers page,https://www.snv.org/careers,Governance & Development,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Governance & Development,Not verified — confirm on the official country page,Africa-wide / not specified
106,Deutsche Gesellschaft für Internationale Zusammenarbeit,GIZ,Development Agency,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Digital development, public-sector transformation, climate and programmes. Directory entry; verify current openings on the official source.",Official careers page,https://www.giz.de/en/career/jobs.html,Technology & Civic Tech,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Technology & Civic Tech,Not verified — confirm on the official country page,Africa-wide / not specified
107,Enabel,Belgian development agency,Development Agency,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Public-sector development, digital transformation, health and education. Directory entry; verify current openings on the official source.",Official careers page,https://www.enabel.be/careers/,Health & Digital Health,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Africa-wide / not specified
108,Expertise France,French international technical cooperation agency,Development Agency,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Governance, digital transformation, health, climate and programme delivery. Directory entry; verify current openings on the official source.",Official careers page,https://www.expertisefrance.fr/en/careers,Health & Digital Health,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Africa-wide / not specified
109,LuxDev,Luxembourg development cooperation agency,Development Agency,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Development programmes, digital systems, health and institutional support. Directory entry; verify current openings on the official source.",Official careers page,https://luxdev.lu/en/jobs,Health & Digital Health,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Africa-wide / not specified
110,British Council,Cultural relations and education organization,Development & Education Organization,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Education, digital learning, programme technology and country operations. Directory entry; verify current openings on the official source.",Official careers page,https://careers.britishcouncil.org/,Technology & Civic Tech,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Technology & Civic Tech,Not verified — confirm on the official country page,Africa-wide / not specified
111,International Development Research Centre,IDRC,Development Research Funder,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Research, digital innovation, AI, data and development policy. Directory entry; verify current openings on the official source.",Official careers page,https://idrc-crdi.ca/en/careers,Research & Policy,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Research & Policy,Not verified — confirm on the official country page,Africa-wide / not specified
112,CGIAR,Global agricultural research partnership,Research & Development Network,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Agricultural research, data platforms, digital agriculture and technology. Directory entry; verify current openings on the official source.",Official careers page,https://www.cgiar.org/careers/,Research & Policy,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Research & Policy,Not verified — confirm on the official country page,Africa-wide / not specified
113,International Livestock Research Institute,ILRI,CGIAR Research Centre,East Africa,Kenya / Ethiopia,Kenya / Ethiopia,High,Needs Verification,,2026-07-20,"Research data, digital agriculture, enterprise systems and science operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.ilri.org/jobs,Research & Policy,East Africa,Kenya / Ethiopia,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Research & Policy,Not verified — confirm on the official country page,Kenya / Ethiopia
114,International Food Policy Research Institute,IFPRI,Research Institute,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Policy research, data, analytics, digital tools and programme operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.ifpri.org/careers,Research & Policy,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Research & Policy,Not verified — confirm on the official country page,Africa-wide / not specified
115,International Center for Research in Agroforestry,CIFOR-ICRAF,Research Institute,Africa-wide,Kenya,Kenya,High,Needs Verification,,2026-07-20,"Climate, forestry, research data, digital platforms and programme delivery. Directory entry; verify current openings on the official source.",Official careers page,https://www.cifor-icraf.org/about/work-with-us/,Research & Policy,East Africa,Kenya,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Research & Policy,Not verified — confirm on the official country page,Kenya
116,African Population and Health Research Center,APHRC,African Research Organization,Africa-wide,Kenya,Kenya,High,Needs Verification,,2026-07-20,"Health research, population data, digital systems and policy. Directory entry; verify current openings on the official source.",Official careers page,https://aphrc.org/careers/,Health & Digital Health,East Africa,Kenya,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Kenya
117,African Institute for Development Policy,AFIDEP,African Policy Institute,Africa-wide,Kenya / Malawi,Kenya / Malawi,High,Needs Verification,,2026-07-20,"Evidence, data, policy, health and development programmes. Directory entry; verify current openings on the official source.",Official careers page,https://www.afidep.org/careers/,Health & Digital Health,East Africa,Kenya / Malawi,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Kenya / Malawi
118,African Centre for the Constructive Resolution of Disputes,ACCORD,African Peacebuilding Organization,Africa-wide,South Africa,South Africa,High,Needs Verification,,2026-07-20,"Peacebuilding, programme management, data and institutional operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.accord.org.za/opportunities/,Governance & Development,Southern Africa,South Africa,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Governance & Development,Not verified — confirm on the official country page,South Africa
119,TrustAfrica,African philanthropy foundation,African Foundation,Africa-wide,Senegal,Senegal,High,Needs Verification,,2026-07-20,"Governance, philanthropy, civil society, data and programme delivery. Directory entry; verify current openings on the official source.",Official organization website,https://trustafrica.org/,Foundations,West Africa,Senegal,Foundation-funded / grant-making,Directory entry — current country operations require official verification,General website / careers not confirmed,Foundations,Not verified — confirm on the official country page,Senegal
120,African Women’s Development Fund,AWDF,African Foundation,Africa-wide,Ghana,Ghana,High,Needs Verification,,2026-07-20,"Women’s rights, grantmaking, digital operations and programme management. Directory entry; verify current openings on the official source.",Official careers page,https://awdf.org/careers/,Foundations,West Africa,Ghana,Foundation-funded / grant-making,Directory entry — current country operations require official verification,Direct careers page,Foundations,Not verified — confirm on the official country page,Ghana
121,Mo Ibrahim Foundation,African governance foundation,African Foundation,Africa-wide,United Kingdom / Africa,United Kingdom / Africa,High,Needs Verification,,2026-07-20,"Governance, data, research, communications and programme roles. Directory entry; verify current openings on the official source.",Official careers page,https://mo.ibrahim.foundation/careers,Research & Policy,Pan-African,United Kingdom / Africa,Foundation-funded / grant-making,Directory entry — current country operations require official verification,Direct careers page,Research & Policy,Not verified — confirm on the official country page,Africa-wide / not specified
122,Tony Elumelu Foundation,African entrepreneurship foundation,African Foundation,Africa-wide,Nigeria,Nigeria,High,Needs Verification,,2026-07-20,"Entrepreneurship platforms, digital programmes, data and operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.tonyelumelufoundation.org/careers,Foundations,West Africa,Nigeria,Foundation-funded / grant-making,Directory entry — current country operations require official verification,Direct careers page,Foundations,Not verified — confirm on the official country page,Nigeria
123,Mastercard Foundation,Global foundation focused on Africa,Foundation,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Education, youth employment, digital economy, data and programme strategy. Directory entry; verify current openings on the official source.",Official careers page,https://mastercardfdn.org/careers/,Foundations,Pan-African,Multiple African countries,Foundation-funded / grant-making,Directory entry — current country operations require official verification,Direct careers page,Foundations,Not verified — confirm on the official country page,Africa-wide / not specified
124,AGRA,Alliance for a Green Revolution in Africa,African Development Organization,Africa-wide,Kenya,Kenya,High,Needs Verification,,2026-07-20,"Agriculture, digital platforms, market systems, data and programme delivery. Directory entry; verify current openings on the official source.",Official careers page,https://agra.org/careers/,Technology & Civic Tech,East Africa,Kenya,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Technology & Civic Tech,Not verified — confirm on the official country page,Kenya
125,One Acre Fund,African smallholder agriculture organization,African Development Organization,East & Southern Africa,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Digital operations, agriculture, data, supply chain and country leadership. Directory entry; verify current openings on the official source.",Official careers page,https://oneacrefund.org/work-with-us,Technology & Civic Tech,Southern Africa,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Technology & Civic Tech,Not verified — confirm on the official country page,Multiple African countries
126,GiveDirectly,Cash transfer nonprofit,Development NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Digital payments, data, technology, operations and programme management. Directory entry; verify current openings on the official source.",Official careers page,https://www.givedirectly.org/careers/,Technology & Civic Tech,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Technology & Civic Tech,Not verified — confirm on the official country page,Africa-wide / not specified
127,TechnoServe,Business solutions to poverty organization,Development NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Market systems, agriculture, digital tools, data and programme operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.technoserve.org/careers/,Technology & Civic Tech,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Technology & Civic Tech,Not verified — confirm on the official country page,Africa-wide / not specified
128,BRAC International,Global South development organization,Development NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Poverty reduction, microfinance, digital programmes and country operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.bracinternational.org/careers/,Technology & Civic Tech,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Technology & Civic Tech,Not verified — confirm on the official country page,Africa-wide / not specified
